"","word","freq","first_Nmin1","last","first","first2","first3","second","third","fourth"
"624","and get lost in the",2,"and get lost in","the","and","and get","and get lost","get","lost","in"
"625","and i am looking forward",2,"and i am looking","forward","and","and i","and i am","i","am","looking"
"626","and i am not going",2,"and i am not","going","and","and i","and i am","i","am","not"
"627","and i am so proud",2,"and i am so","proud","and","and i","and i am","i","am","so"
"628","and i can not help",2,"and i can not","help","and","and i","and i can","i","can","not"
"629","and i did not have",2,"and i did not","have","and","and i","and i did","i","did","not"
"630","and i didnt want to",2,"and i didnt want","to","and","and i","and i didnt","i","didnt","want"
"631","and i do not know",2,"and i do not","know","and","and i","and i do","i","do","not"
"632","and i feel like i",2,"and i feel like","i","and","and i","and i feel","i","feel","like"
"633","and i have got to",2,"and i have got","to","and","and i","and i have","i","have","got"
"634","and i highly doubt that",2,"and i highly doubt","that","and","and i","and i highly","i","highly","doubt"
"635","and i just want to",2,"and i just want","to","and","and i","and i just","i","just","want"
"636","and i think i can",2,"and i think i","can","and","and i","and i think","i","think","i"
"637","and i thought i was",2,"and i thought i","was","and","and i","and i thought","i","thought","i"
"638","and i wanted to show",2,"and i wanted to","show","and","and i","and i wanted","i","wanted","to"
"639","and i was able to",2,"and i was able","to","and","and i","and i was","i","was","able"
"640","and i will not be",2,"and i will not","be","and","and i","and i will","i","will","not"
"641","and i would like to",2,"and i would like","to","and","and i","and i would","i","would","like"
"642","and if i do not",2,"and if i do","not","and","and if","and if i","if","i","do"
"643","and if you are a",2,"and if you are","a","and","and if","and if you","if","you","are"
"644","and is currently engaged in",2,"and is currently engaged","in","and","and is","and is currently","is","currently","engaged"
"645","and it blew me away",2,"and it blew me","away","and","and it","and it blew","it","blew","me"
"646","and it is hard to",2,"and it is hard","to","and","and it","and it is","it","is","hard"
"647","and it is not even",2,"and it is not","even","and","and it","and it is","it","is","not"
"648","and just forget the world",2,"and just forget the","world","and","and just","and just forget","just","forget","the"
"649","and look forward to your",2,"and look forward to","your","and","and look","and look forward","look","forward","to"
"650","and not being able to",2,"and not being able","to","and","and not","and not being","not","being","able"
"651","and relaxing at the same",2,"and relaxing at the","same","and","and relaxing","and relaxing at","relaxing","at","the"
"652","and see how it compares",2,"and see how it","compares","and","and see","and see how","see","how","it"
"653","and that is exactly what",2,"and that is exactly","what","and","and that","and that is","that","is","exactly"
"654","and that is what i",2,"and that is what","i","and","and that","and that is","that","is","what"
"655","and the future of the",2,"and the future of","the","and","and the","and the future","the","future","of"
"656","and then as i was",2,"and then as i","was","and","and then","and then as","then","as","i"
"657","and then go back to",2,"and then go back","to","and","and then","and then go","then","go","back"
"658","and there was a lot",2,"and there was a","lot","and","and there","and there was","there","was","a"
"659","and they are going to",2,"and they are going","to","and","and they","and they are","they","are","going"
"660","and this is crazy but",2,"and this is crazy","but","and","and this","and this is","this","is","crazy"
"661","and to be able to",2,"and to be able","to","and","and to","and to be","to","be","able"
"662","and to washington dc for",2,"and to washington dc","for","and","and to","and to washington","to","washington","dc"
"663","and we will get back",2,"and we will get","back","and","and we","and we will","we","will","get"
"664","and ye shall have them",2,"and ye shall have","them","and","and ye","and ye shall","ye","shall","have"
"665","and yes there will be",2,"and yes there will","be","and","and yes","and yes there","yes","there","will"
"666","and you are just like",2,"and you are just","like","and","and you","and you are","you","are","just"
"667","and you will see that",2,"and you will see","that","and","and you","and you will","you","will","see"
"668","annoy the crap out of",2,"annoy the crap out","of","annoy","annoy the","annoy the crap","the","crap","out"
"669","anyone to talk to i",2,"anyone to talk to","i","anyone","anyone to","anyone to talk","to","talk","to"
"670","apart from the rest of",2,"apart from the rest","of","apart","apart from","apart from the","from","the","rest"
"671","are available in a variety",2,"are available in a","variety","are","are available","are available in","available","in","a"
"672","are in the middle of",2,"are in the middle","of","are","are in","are in the","in","the","middle"
"673","are not familiar with the",2,"are not familiar with","the","are","are not","are not familiar","not","familiar","with"
"674","are not going to be",2,"are not going to","be","are","are not","are not going","not","going","to"
"675","are not the only one",2,"are not the only","one","are","are not","are not the","not","the","only"
"676","are on the right track",2,"are on the right","track","are","are on","are on the","on","the","right"
"677","are so thankful for our",2,"are so thankful for","our","are","are so","are so thankful","so","thankful","for"
"678","are some of the most",2,"are some of the","most","are","are some","are some of","some","of","the"
"679","are talking about how they",2,"are talking about how","they","are","are talking","are talking about","talking","about","how"
"680","are the same as those",2,"are the same as","those","are","are the","are the same","the","same","as"
"681","are you going to the",2,"are you going to","the","are","are you","are you going","you","going","to"
"682","are you looking for a",2,"are you looking for","a","are","are you","are you looking","you","looking","for"
"683","are you ready for your",2,"are you ready for","your","are","are you","are you ready","you","ready","for"
"684","arms up in the air",2,"arms up in the","air","arms","arms up","arms up in","up","in","the"
"685","as a matter of fact",2,"as a matter of","fact","as","as a","as a matter","a","matter","of"
"686","as an example of the",2,"as an example of","the","as","as an","as an example","an","example","of"
"687","as fast as i can",2,"as fast as i","can","as","as fast","as fast as","fast","as","i"
"688","as i said i am",2,"as i said i","am","as","as i","as i said","i","said","i"
"689","as i thought it would",2,"as i thought it","would","as","as i","as i thought","i","thought","it"
"690","as if it was a",2,"as if it was","a","as","as if","as if it","if","it","was"
"691","as it could have been",2,"as it could have","been","as","as it","as it could","it","could","have"
"692","as it is with ghosts",2,"as it is with","ghosts","as","as it","as it is","it","is","with"
"693","as long as i can",2,"as long as i","can","as","as long","as long as","long","as","i"
"694","as long as you get",2,"as long as you","get","as","as long","as long as","long","as","you"
"695","as much as i want",2,"as much as i","want","as","as much","as much as","much","as","i"
"696","as soon as i can",2,"as soon as i","can","as","as soon","as soon as","soon","as","i"
"697","as soon as i was",2,"as soon as i","was","as","as soon","as soon as","soon","as","i"
"698","as well as the interests",2,"as well as the","interests","as","as well","as well as","well","as","the"
"699","asked me if i wanted",2,"asked me if i","wanted","asked","asked me","asked me if","me","if","i"
"700","at a time when the",2,"at a time when","the","at","at a","at a time","a","time","when"
"701","at am to go to",2,"at am to go","to","at","at am","at am to","am","to","go"
"702","at first i thought this",2,"at first i thought","this","at","at first","at first i","first","i","thought"
"703","at least i have a",2,"at least i have","a","at","at least","at least i","least","i","have"
"704","at least once a week",2,"at least once a","week","at","at least","at least once","least","once","a"
"705","at least that is what",2,"at least that is","what","at","at least","at least that","least","that","is"
"706","at th and u on",2,"at th and u","on","at","at th","at th and","th","and","u"
"707","at the end of last",2,"at the end of","last","at","at the","at the end","the","end","of"
"708","at the same time as",2,"at the same time","as","at","at the","at the same","the","same","time"
"709","at the same time it",2,"at the same time","it","at","at the","at the same","the","same","time"
"710","at the same time its",2,"at the same time","its","at","at the","at the same","the","same","time"
"711","at the same time we",2,"at the same time","we","at","at the","at the same","the","same","time"
"712","at the side of the",2,"at the side of","the","at","at the","at the side","the","side","of"
"713","at the table next to",2,"at the table next","to","at","at the","at the table","the","table","next"
"714","at this point i am",2,"at this point i","am","at","at this","at this point","this","point","i"
"715","at this time of year",2,"at this time of","year","at","at this","at this time","this","time","of"
"716","available in a variety of",2,"available in a variety","of","available","available in","available in a","in","a","variety"
"717","b in dc im tryna",2,"b in dc im","tryna","b","b in","b in dc","in","dc","im"
"718","baby out with the bathwater",2,"baby out with the","bathwater","baby","baby out","baby out with","out","with","the"
"719","baby you light up my",2,"baby you light up","my","baby","baby you","baby you light","you","light","up"
"720","be a bit of a",2,"be a bit of","a","be","be a","be a bit","a","bit","of"
"721","be a great place to",2,"be a great place","to","be","be a","be a great","a","great","place"
"722","be able to do so",2,"be able to do","so","be","be able","be able to","able","to","do"
"723","be able to help me",2,"be able to help","me","be","be able","be able to","able","to","help"
"724","be able to use my",2,"be able to use","my","be","be able","be able to","able","to","use"
"725","be as good as the",2,"be as good as","the","be","be as","be as good","as","good","as"
"726","be careful what you wish",2,"be careful what you","wish","be","be careful","be careful what","careful","what","you"
"727","be honest it was not",2,"be honest it was","not","be","be honest","be honest it","honest","it","was"
"728","be on the lookout for",2,"be on the lookout","for","be","be on","be on the","on","the","lookout"
"729","be one of my favorite",2,"be one of my","favorite","be","be one","be one of","one","of","my"
"730","be one of the biggest",2,"be one of the","biggest","be","be one","be one of","one","of","the"
"731","be one of those days",2,"be one of those","days","be","be one","be one of","one","of","those"
"732","be sure to stop by",2,"be sure to stop","by","be","be sure","be sure to","sure","to","stop"
"733","be the death of me",2,"be the death of","me","be","be the","be the death","the","death","of"
"734","be too much to ask",2,"be too much to","ask","be","be too","be too much","too","much","to"
"735","because i am one of",2,"because i am one","of","because","because i","because i am","i","am","one"
"736","because i did not like",2,"because i did not","like","because","because i","because i did","i","did","not"
"737","because i was going to",2,"because i was going","to","because","because i","because i was","i","was","going"
"738","because it is over smile",2,"because it is over","smile","because","because it","because it is","it","is","over"
"739","because it is such a",2,"because it is such","a","because","because it","because it is","it","is","such"
"740","because there is so much",2,"because there is so","much","because","because there","because there is","there","is","so"
"741","been a bad blogger i",2,"been a bad blogger","i","been","been a","been a bad","a","bad","blogger"
"742","been a long time since",2,"been a long time","since","been","been a","been a long","a","long","time"
"743","been thinking a lot about",2,"been thinking a lot","about","been","been thinking","been thinking a","thinking","a","lot"
"744","before i go to sleep",2,"before i go to","sleep","before","before i","before i go","i","go","to"
"745","believe in the power of",2,"believe in the power","of","believe","believe in","believe in the","in","the","power"
"746","believe that someday he will",2,"believe that someday he","will","believe","believe that","believe that someday","that","someday","he"
"747","believe that ye receive them",2,"believe that ye receive","them","believe","believe that","believe that ye","that","ye","receive"
"748","believed to be the first",2,"believed to be the","first","believed","believed to","believed to be","to","be","the"
"749","best city in the world",2,"best city in the","world","best","best city","best city in","city","in","the"
"750","best thing in the world",2,"best thing in the","world","best","best thing","best thing in","thing","in","the"
"751","billions of people in the",2,"billions of people in","the","billions","billions of","billions of people","of","people","in"
"752","boil lower the heat and",2,"boil lower the heat","and","boil","boil lower","boil lower the","lower","the","heat"
"753","boo rt happy mothers day",2,"boo rt happy mothers","day","boo","boo rt","boo rt happy","rt","happy","mothers"
"754","born citizen or a citizen",2,"born citizen or a","citizen","born","born citizen","born citizen or","citizen","or","a"
"755","both at the same time",2,"both at the same","time","both","both at","both at the","at","the","same"
"756","bring to a boil lower",2,"bring to a boil","lower","bring","bring to","bring to a","to","a","boil"
"757","brings a smile to my",2,"brings a smile to","my","brings","brings a","brings a smile","a","smile","to"
"758","burned calories doing minutes of",2,"burned calories doing minutes","of","burned","burned calories","burned calories doing","calories","doing","minutes"
"759","bursting at the seams with",2,"bursting at the seams","with","bursting","bursting at","bursting at the","at","the","seams"
"760","but as soon as i",2,"but as soon as","i","but","but as","but as soon","as","soon","as"
"761","but could not find a",2,"but could not find","a","but","but could","but could not","could","not","find"
"762","but do not want to",2,"but do not want","to","but","but do","but do not","do","not","want"
"763","but few have seen it",2,"but few have seen","it","but","but few","but few have","few","have","seen"
"764","but for now i am",2,"but for now i","am","but","but for","but for now","for","now","i"
"765","but have not been able",2,"but have not been","able","but","but have","but have not","have","not","been"
"766","but i always feel like",2,"but i always feel","like","but","but i","but i always","i","always","feel"
"767","but i am sure you",2,"but i am sure","you","but","but i","but i am","i","am","sure"
"768","but i am telling you",2,"but i am telling","you","but","but i","but i am","i","am","telling"
"769","but i can not help",2,"but i can not","help","but","but i","but i can","i","can","not"
"770","but i do have a",2,"but i do have","a","but","but i","but i do","i","do","have"
"771","but i do not think",2,"but i do not","think","but","but i","but i do","i","do","not"
"772","but i guess he is",2,"but i guess he","is","but","but i","but i guess","i","guess","he"
"773","but i just do not",2,"but i just do","not","but","but i","but i just","i","just","do"
"774","but i really wanted to",2,"but i really wanted","to","but","but i","but i really","i","really","wanted"
"775","but i think i can",2,"but i think i","can","but","but i","but i think","i","think","i"
"776","but i think you get",2,"but i think you","get","but","but i","but i think","i","think","you"
"777","but i will give you",2,"but i will give","you","but","but i","but i will","i","will","give"
"778","but i will take it",2,"but i will take","it","but","but i","but i will","i","will","take"
"779","but i would like to",2,"but i would like","to","but","but i","but i would","i","would","like"
"780","but i would love to",2,"but i would love","to","but","but i","but i would","i","would","love"
"781","but in a good way",2,"but in a good","way","but","but in","but in a","in","a","good"
"782","but in the end i",2,"but in the end","i","but","but in","but in the","in","the","end"
"783","but in the end it",2,"but in the end","it","but","but in","but in the","in","the","end"
"784","but in the meantime i",2,"but in the meantime","i","but","but in","but in the","in","the","meantime"
"785","but it is a long",2,"but it is a","long","but","but it","but it is","it","is","a"
"786","but it is definitely a",2,"but it is definitely","a","but","but it","but it is","it","is","definitely"
"787","but it is hard to",2,"but it is hard","to","but","but it","but it is","it","is","hard"
"788","but it is just so",2,"but it is just","so","but","but it","but it is","it","is","just"
"789","but it just did not",2,"but it just did","not","but","but it","but it just","it","just","did"
"790","but it turns out to",2,"but it turns out","to","but","but it","but it turns","it","turns","out"
"791","but other than that i",2,"but other than that","i","but","but other","but other than","other","than","that"
"792","but that does not mean",2,"but that does not","mean","but","but that","but that does","that","does","not"
"793","but the next day i",2,"but the next day","i","but","but the","but the next","the","next","day"
"794","by and check it out",2,"by and check it","out","by","by and","by and check","and","check","it"
"795","came to the conclusion that",2,"came to the conclusion","that","came","came to","came to the","to","the","conclusion"
"796","can be dressed up or",2,"can be dressed up","or","can","can be","can be dressed","be","dressed","up"
"797","can get a better look",2,"can get a better","look","can","can get","can get a","get","a","better"
"798","can i get a rt",2,"can i get a","rt","can","can i","can i get","i","get","a"
"799","can make an exception for",2,"can make an exception","for","can","can make","can make an","make","an","exception"
"800","can not believe it is",2,"can not believe it","is","can","can not","can not believe","not","believe","it"
"801","can not say i am",2,"can not say i","am","can","can not","can not say","not","say","i"
"802","can not think of anything",2,"can not think of","anything","can","can not","can not think","not","think","of"
"803","can not wait till the",2,"can not wait till","the","can","can not","can not wait","not","wait","till"
"804","can not wait to hit",2,"can not wait to","hit","can","can not","can not wait","not","wait","to"
"805","can you dm me your",2,"can you dm me","your","can","can you","can you dm","you","dm","me"
"806","cant wait to get to",2,"cant wait to get","to","cant","cant wait","cant wait to","wait","to","get"
"807","careful what you wish for",2,"careful what you wish","for","careful","careful what","careful what you","what","you","wish"
"808","centers for disease control and",2,"centers for disease control","and","centers","centers for","centers for disease","for","disease","control"
"809","citizen of the united states",2,"citizen of the united","states","citizen","citizen of","citizen of the","of","the","united"
"810","citizen or a citizen of",2,"citizen or a citizen","of","citizen","citizen or","citizen or a","or","a","citizen"
"811","click here for more information",2,"click here for more","information","click","click here","click here for","here","for","more"
"812","click on the link below",2,"click on the link","below","click","click on","click on the","on","the","link"
"813","click on the link to",2,"click on the link","to","click","click on","click on the","on","the","link"
"814","close to the end of",2,"close to the end","of","close","close to","close to the","to","the","end"
"815","come out and party with",2,"come out and party","with","come","come out","come out and","out","and","party"
"816","come to think of it",2,"come to think of","it","come","come to","come to think","to","think","of"
"817","considered one of the most",2,"considered one of the","most","considered","considered one","considered one of","one","of","the"
"818","cool not cool at all",2,"cool not cool at","all","cool","cool not","cool not cool","not","cool","at"
"819","cool would it be to",2,"cool would it be","to","cool","cool would","cool would it","would","it","be"
"820","could go on and on",2,"could go on and","on","could","could go","could go on","go","on","and"
"821","could not find a suitable",2,"could not find a","suitable","could","could not","could not find","not","find","a"
"822","could not sleep so i",2,"could not sleep so","i","could","could not","could not sleep","not","sleep","so"
"823","crazy but heres my number",2,"crazy but heres my","number","crazy","crazy but","crazy but heres","but","heres","my"
"824","crazy but i do not",2,"crazy but i do","not","crazy","crazy but","crazy but i","but","i","do"
"825","credit where credit is due",2,"credit where credit is","due","credit","credit where","credit where credit","where","credit","is"
"826","cry because it is over",2,"cry because it is","over","cry","cry because","cry because it","because","it","is"
"827","day in and day out",2,"day in and day","out","day","day in","day in and","in","and","day"
"828","day is off to a",2,"day is off to","a","day","day is","day is off","is","off","to"
"829","dc for a concert and",2,"dc for a concert","and","dc","dc for","dc for a","for","a","concert"
"830","dc im tryna fish montana",2,"dc im tryna fish","montana","dc","dc im","dc im tryna","im","tryna","fish"
"831","decide if i want to",2,"decide if i want","to","decide","decide if","decide if i","if","i","want"
"832","decided it was time to",2,"decided it was time","to","decided","decided it","decided it was","it","was","time"
"833","desire when ye pray believe",2,"desire when ye pray","believe","desire","desire when","desire when ye","when","ye","pray"
"834","did a little bit of",2,"did a little bit","of","did","did a","did a little","a","little","bit"
"835","did manage to get a",2,"did manage to get","a","did","did manage","did manage to","manage","to","get"
"836","did not even know that",2,"did not even know","that","did","did not","did not even","not","even","know"
"837","did not get to see",2,"did not get to","see","did","did not","did not get","not","get","to"
"838","did not go to the",2,"did not go to","the","did","did not","did not go","not","go","to"
"839","did not have to worry",2,"did not have to","worry","did","did not","did not have","not","have","to"
"840","did not know what to",2,"did not know what","to","did","did not","did not know","not","know","what"
"841","did not really do anything",2,"did not really do","anything","did","did not","did not really","not","really","do"
"842","did not really know what",2,"did not really know","what","did","did not","did not really","not","really","know"
"843","did not want to be",2,"did not want to","be","did","did not","did not want","not","want","to"
"844","did such a great job",2,"did such a great","job","did","did such","did such a","such","a","great"
"845","did you know that on",2,"did you know that","on","did","did you","did you know","you","know","that"
"846","do i so desperately want",2,"do i so desperately","want","do","do i","do i so","i","so","desperately"
"847","do let us know what",2,"do let us know","what","do","do let","do let us","let","us","know"
"848","do not be afraid to",2,"do not be afraid","to","do","do not","do not be","not","be","afraid"
"849","do not care what they",2,"do not care what","they","do","do not","do not care","not","care","what"
"850","do not cry because it",2,"do not cry because","it","do","do not","do not cry","not","cry","because"
"851","do not even know it",2,"do not even know","it","do","do not","do not even","not","even","know"
"852","do not even know what",2,"do not even know","what","do","do not","do not even","not","even","know"
"853","do not feel like doing",2,"do not feel like","doing","do","do not","do not feel","not","feel","like"
"854","do not feel like i",2,"do not feel like","i","do","do not","do not feel","not","feel","like"
"855","do not forget to follow",2,"do not forget to","follow","do","do not","do not forget","not","forget","to"
"856","do not get me wrong",2,"do not get me","wrong","do","do not","do not get","not","get","me"
"857","do not go where the",2,"do not go where","the","do","do not","do not go","not","go","where"
"858","do not have a lot",2,"do not have a","lot","do","do not","do not have","not","have","a"
"859","do not have the right",2,"do not have the","right","do","do not","do not have","not","have","the"
"860","do not have the time",2,"do not have the","time","do","do not","do not have","not","have","the"
"861","do not have time for",2,"do not have time","for","do","do not","do not have","not","have","time"
"862","do not have to say",2,"do not have to","say","do","do not","do not have","not","have","to"
"863","do not know how it",2,"do not know how","it","do","do not","do not know","not","know","how"
"864","do not know if it",2,"do not know if","it","do","do not","do not know","not","know","if"
"865","do not know if she",2,"do not know if","she","do","do not","do not know","not","know","if"
"866","do not know if that",2,"do not know if","that","do","do not","do not know","not","know","if"
"867","do not know what to",2,"do not know what","to","do","do not","do not know","not","know","what"
"868","do not know what you",2,"do not know what","you","do","do not","do not know","not","know","what"
"869","do not know why i",2,"do not know why","i","do","do not","do not know","not","know","why"
"870","do not like change you",2,"do not like change","you","do","do not","do not like","not","like","change"
"871","do not read the comments",2,"do not read the","comments","do","do not","do not read","not","read","the"
"872","do not really know what",2,"do not really know","what","do","do not","do not really","not","really","know"
"873","do not seem to be",2,"do not seem to","be","do","do not","do not seem","not","seem","to"
"874","do not think i could",2,"do not think i","could","do","do not","do not think","not","think","i"
"875","do not think i will",2,"do not think i","will","do","do not","do not think","not","think","i"
"876","do not think i would",2,"do not think i","would","do","do not","do not think","not","think","i"
"877","do not think that is",2,"do not think that","is","do","do not","do not think","not","think","that"
"878","do not think there is",2,"do not think there","is","do","do not","do not think","not","think","there"
"879","do not think we will",2,"do not think we","will","do","do not","do not think","not","think","we"
"880","do not want it but",2,"do not want it","but","do","do not","do not want","not","want","it"
"881","do not want it to",2,"do not want it","to","do","do not","do not want","not","want","it"
"882","do not want to go",2,"do not want to","go","do","do not","do not want","not","want","to"
"883","do not want you to",2,"do not want you","to","do","do not","do not want","not","want","you"
"884","do not worry i am",2,"do not worry i","am","do","do not","do not worry","not","worry","i"
"885","do not worry i will",2,"do not worry i","will","do","do not","do not worry","not","worry","i"
"886","do not you think it",2,"do not you think","it","do","do not","do not you","not","you","think"
"887","do something you have never",2,"do something you have","never","do","do something","do something you","something","you","have"
"888","do you feel about the",2,"do you feel about","the","do","do you","do you feel","you","feel","about"
"889","do you have to be",2,"do you have to","be","do","do you","do you have","you","have","to"
"890","do you mind if i",2,"do you mind if","i","do","do you","do you mind","you","mind","if"
"891","do you think are the",2,"do you think are","the","do","do you","do you think","you","think","are"
"892","do you think they will",2,"do you think they","will","do","do you","do you think","you","think","they"
"893","does not bode well for",2,"does not bode well","for","does","does not","does not bode","not","bode","well"
"894","does not mean that you",2,"does not mean that","you","does","does not","does not mean","not","mean","that"
"895","does not mean they will",2,"does not mean they","will","does","does not","does not mean","not","mean","they"
"896","does not mean you are",2,"does not mean you","are","does","does not","does not mean","not","mean","you"
"897","does not seem to be",2,"does not seem to","be","does","does not","does not seem","not","seem","to"
"898","does take a lot of",2,"does take a lot","of","does","does take","does take a","take","a","lot"
"899","does that make me a",2,"does that make me","a","does","does that","does that make","that","make","me"
"900","dont get me started on",2,"dont get me started","on","dont","dont get","dont get me","get","me","started"
"901","dont know what more to",2,"dont know what more","to","dont","dont know","dont know what","know","what","more"
"902","dotheir in my favorites anna",2,"dotheir in my favorites","anna","dotheir","dotheir in","dotheir in my","in","my","favorites"
"903","during the course of the",2,"during the course of","the","during","during the","during the course","the","course","of"
"904","e e t if you",2,"e e t if","you","e","e e","e e t","e","t","if"
"905","e t w e e",2,"e t w e","e","e","e t","e t w","t","w","e"
"906","end of a long day",2,"end of a long","day","end","end of","end of a","of","a","long"
"907","end of the year is",2,"end of the year","is","end","end of","end of the","of","the","year"
"908","envy me rate me hate",2,"envy me rate me","hate","envy","envy me","envy me rate","me","rate","me"
"909","even to the point of",2,"even to the point","of","even","even to","even to the","to","the","point"
"910","every minute of every day",2,"every minute of every","day","every","every minute","every minute of","minute","of","every"
"911","everyone had a great weekend",2,"everyone had a great","weekend","everyone","everyone had","everyone had a","had","a","great"
"912","everyone has had a great",2,"everyone has had a","great","everyone","everyone has","everyone has had","has","had","a"
"913","everyone talks about it but",2,"everyone talks about it","but","everyone","everyone talks","everyone talks about","talks","about","it"
"914","everyone who came out to",2,"everyone who came out","to","everyone","everyone who","everyone who came","who","came","out"
"915","everyone who participated in our",2,"everyone who participated in","our","everyone","everyone who","everyone who participated","who","participated","in"
"916","except a natural born citizen",2,"except a natural born","citizen","except","except a","except a natural","a","natural","born"
"917","excited to be able to",2,"excited to be able","to","excited","excited to","excited to be","to","be","able"
"918","excited to be going to",2,"excited to be going","to","excited","excited to","excited to be","to","be","going"
"919","excuse to be a hoe",2,"excuse to be a","hoe","excuse","excuse to","excuse to be","to","be","a"
"920","fact i think they should",2,"fact i think they","should","fact","fact i","fact i think","i","think","they"
"921","feel free to shoot me",2,"feel free to shoot","me","feel","feel free","feel free to","free","to","shoot"
"922","feel free to stop by",2,"feel free to stop","by","feel","feel free","feel free to","free","to","stop"
"923","feel sorry for people who",2,"feel sorry for people","who","feel","feel sorry","feel sorry for","sorry","for","people"
"924","feel the same way i",2,"feel the same way","i","feel","feel the","feel the same","the","same","way"
"925","few minutes at a time",2,"few minutes at a","time","few","few minutes","few minutes at","minutes","at","a"
"926","few of my favorite things",2,"few of my favorite","things","few","few of","few of my","of","my","favorite"
"927","figure out how to eat",2,"figure out how to","eat","figure","figure out","figure out how","out","how","to"
"928","figure out how to get",2,"figure out how to","get","figure","figure out","figure out how","out","how","to"
"929","first day of the week",2,"first day of the","week","first","first day","first day of","day","of","the"
"930","first time that i had",2,"first time that i","had","first","first time","first time that","time","that","i"
"931","follow me i love you",2,"follow me i love","you","follow","follow me","follow me i","me","i","love"
"932","follow so i can dm",2,"follow so i can","dm","follow","follow so","follow so i","so","i","can"
"933","follow us for all your",2,"follow us for all","your","follow","follow us","follow us for","us","for","all"
"934","following the hilltop on twitter",2,"following the hilltop on","twitter","following","following the","following the hilltop","the","hilltop","on"
"935","food to the point of",2,"food to the point","of","food","food to","food to the","to","the","point"
"936","for a concert and meetngreet",2,"for a concert and","meetngreet","for","for a","for a concert","a","concert","and"
"937","for a couple of weeks",2,"for a couple of","weeks","for","for a","for a couple","a","couple","of"
"938","for a long time i",2,"for a long time","i","for","for a","for a long","a","long","time"
"939","for all of us to",2,"for all of us","to","for","for all","for all of","all","of","us"
"940","for all the hard work",2,"for all the hard","work","for","for all","for all the","all","the","hard"
"941","for as long as i",2,"for as long as","i","for","for as","for as long","as","long","as"
"942","for disease control and prevention",2,"for disease control and","prevention","for","for disease","for disease control","disease","control","and"
"943","for following the hilltop on",2,"for following the hilltop","on","for","for following","for following the","following","the","hilltop"
"944","for helping spread the word",2,"for helping spread the","word","for","for helping","for helping spread","helping","spread","the"
"945","for joining us for our",2,"for joining us for","our","for","for joining","for joining us","joining","us","for"
"946","for lack of a better",2,"for lack of a","better","for","for lack","for lack of","lack","of","a"
"947","for me and i did",2,"for me and i","did","for","for me","for me and","me","and","i"
"948","for me to try to",2,"for me to try","to","for","for me","for me to","me","to","try"
"949","for no other reason than",2,"for no other reason","than","for","for no","for no other","no","other","reason"
"950","for no reason at all",2,"for no reason at","all","for","for no","for no reason","no","reason","at"
"951","for not being able to",2,"for not being able","to","for","for not","for not being","not","being","able"
"952","for some reason i have",2,"for some reason i","have","for","for some","for some reason","some","reason","i"
"953","for the chance to win",2,"for the chance to","win","for","for the","for the chance","the","chance","to"
"954","for the first time by",2,"for the first time","by","for","for the","for the first","the","first","time"
"955","for the first time since",2,"for the first time","since","for","for the","for the first","the","first","time"
"956","for the first time the",2,"for the first time","the","for","for the","for the first","the","first","time"
"957","for the follow if you",2,"for the follow if","you","for","for the","for the follow","the","follow","if"
"958","for the good of the",2,"for the good of","the","for","for the","for the good","the","good","of"
"959","for the most part they",2,"for the most part","they","for","for the","for the most","the","most","part"
"960","for the rt much appreciated",2,"for the rt much","appreciated","for","for the","for the rt","the","rt","much"
"961","for the sake of a",2,"for the sake of","a","for","for the","for the sake","the","sake","of"
"962","for the wages of sin",2,"for the wages of","sin","for","for the","for the wages","the","wages","of"
"963","for those who want to",2,"for those who want","to","for","for those","for those who","those","who","want"
"964","for what it is worth",2,"for what it is","worth","for","for what","for what it","what","it","is"
"965","forward to getting to know",2,"forward to getting to","know","forward","forward to","forward to getting","to","getting","to"
"966","forward to seeing all of",2,"forward to seeing all","of","forward","forward to","forward to seeing","to","seeing","all"
"967","from all over the world",2,"from all over the","world","from","from all","from all over","all","over","the"
"968","from time to time but",2,"from time to time","but","from","from time","from time to","time","to","time"
"969","gave me a pair of",2,"gave me a pair","of","gave","gave me","gave me a","me","a","pair"
"970","get me started on the",2,"get me started on","the","get","get me","get me started","me","started","on"
"971","get out of the car",2,"get out of the","car","get","get out","get out of","out","of","the"
"972","get out of the rain",2,"get out of the","rain","get","get out","get out of","out","of","the"
"973","get rid of the problem",2,"get rid of the","problem","get","get rid","get rid of","rid","of","the"
"974","get to know each other",2,"get to know each","other","get","get to","get to know","to","know","each"
"975","getting hit by a car",2,"getting hit by a","car","getting","getting hit","getting hit by","hit","by","a"
"976","getting up early to watch",2,"getting up early to","watch","getting","getting up","getting up early","up","early","to"
"977","ghosts everyone talks about it",2,"ghosts everyone talks about","it","ghosts","ghosts everyone","ghosts everyone talks","everyone","talks","about"
"978","give credit where credit is",2,"give credit where credit","is","give","give credit","give credit where","credit","where","credit"
"979","give me a break you",2,"give me a break","you","give","give me","give me a","me","a","break"
"980","glad i am not the",2,"glad i am not","the","glad","glad i","glad i am","i","am","not"
"981","glad to hear you are",2,"glad to hear you","are","glad","glad to","glad to hear","to","hear","you"
"982","glad to hear you enjoyed",2,"glad to hear you","enjoyed","glad","glad to","glad to hear","to","hear","you"
"983","go back to sleep and",2,"go back to sleep","and","go","go back","go back to","back","to","sleep"
"984","go instead where there is",2,"go instead where there","is","go","go instead","go instead where","instead","where","there"
