"","word","freq","first_Nmin1","last"
"3019","just so",19,"just","so"
"3020","last few",19,"last","few"
"3021","left the",19,"left","the"
"3022","looked at",19,"looked","at"
"3023","looking to",19,"looking","to"
"3024","lot more",19,"lot","more"
"3025","made this",19,"made","this"
"3026","make your",19,"make","your"
"3027","men and",19,"men","and"
"3028","millions of",19,"millions","of"
"3029","minutes of",19,"minutes","of"
"3030","most important",19,"most","important"
"3031","my body",19,"my","body"
"3032","my work",19,"my","work"
"3033","name is",19,"name","is"
"3034","need some",19,"need","some"
"3035","needs a",19,"needs","a"
"3036","never seen",19,"never","seen"
"3037","night with",19,"night","with"
"3038","not all",19,"not","all"
"3039","not wanna",19,"not","wanna"
"3040","not yet",19,"not","yet"
"3041","now to",19,"now","to"
"3042","off my",19,"off","my"
"3043","off of",19,"off","of"
"3044","on earth",19,"on","earth"
"3045","or if",19,"or","if"
"3046","or in",19,"or","in"
"3047","out this",19,"out","this"
"3048","outside of",19,"outside","of"
"3049","possible to",19,"possible","to"
"3050","prior to",19,"prior","to"
"3051","realized i",19,"realized","i"
"3052","really is",19,"really","is"
"3053","really need",19,"really","need"
"3054","room and",19,"room","and"
"3055","same way",19,"same","way"
"3056","see in",19,"see","in"
"3057","seen it",19,"seen","it"
"3058","send me",19,"send","me"
"3059","she could",19,"she","could"
"3060","sitting in",19,"sitting","in"
"3061","some good",19,"some","good"
"3062","someone is",19,"someone","is"
"3063","take on",19,"take","on"
"3064","telling me",19,"telling","me"
"3065","tells me",19,"tells","me"
"3066","than you",19,"than","you"
"3067","that day",19,"that","day"
"3068","the airport",19,"the","airport"
"3069","the author",19,"the","author"
"3070","the bad",19,"the","bad"
"3071","the chance",19,"the","chance"
"3072","the event",19,"the","event"
"3073","the girls",19,"the","girls"
"3074","the home",19,"the","home"
"3075","the information",19,"the","information"
"3076","the latest",19,"the","latest"
"3077","the library",19,"the","library"
"3078","the local",19,"the","local"
"3079","the majority",19,"the","majority"
"3080","the plan",19,"the","plan"
"3081","the poor",19,"the","poor"
"3082","the subject",19,"the","subject"
"3083","the the",19,"the","the"
"3084","these two",19,"these","two"
"3085","thinking of",19,"thinking","of"
"3086","thinking that",19,"thinking","that"
"3087","this card",19,"this","card"
"3088","this movie",19,"this","movie"
"3089","this show",19,"this","show"
"3090","though it",19,"though","it"
"3091","to enter",19,"to","enter"
"3092","to fix",19,"to","fix"
"3093","to pass",19,"to","pass"
"3094","to seeing",19,"to","seeing"
"3095","u can",19,"u","can"
"3096","university of",19,"university","of"
"3097","up there",19,"up","there"
"3098","us we",19,"us","we"
"3099","very well",19,"very","well"
"3100","was looking",19,"was","looking"
"3101","we also",19,"we","also"
"3102","we really",19,"we","really"
"3103","were to",19,"were","to"
"3104","whether or",19,"whether","or"
"3105","which has",19,"which","has"
"3106","will i",19,"will","i"
"3107","will miss",19,"will","miss"
"3108","wish to",19,"wish","to"
"3109","would never",19,"would","never"
"3110","york city",19,"york","city"
"3111","you back",19,"you","back"
"3112","you believe",19,"you","believe"
"3113","your face",19,"your","face"
"3114","a copy",18,"a","copy"
"3115","a half",18,"a","half"
"3116","a matter",18,"a","matter"
"3117","a reason",18,"a","reason"
"3118","a row",18,"a","row"
"3119","a smile",18,"a","smile"
"3120","a video",18,"a","video"
"3121","again in",18,"again","in"
"3122","am getting",18,"am","getting"
"3123","am glad",18,"am","glad"
"3124","am really",18,"am","really"
"3125","an eye",18,"an","eye"
"3126","and every",18,"and","every"
"3127","and out",18,"and","out"
"3128","and still",18,"and","still"
"3129","and try",18,"and","try"
"3130","and why",18,"and","why"
"3131","are having",18,"are","having"
"3132","as part",18,"as","part"
"3133","ask me",18,"ask","me"
"3134","asked to",18,"asked","to"
"3135","at any",18,"at","any"
"3136","be found",18,"be","found"
"3137","be part",18,"be","part"
"3138","believe the",18,"believe","the"
"3139","blog and",18,"blog","and"
"3140","book of",18,"book","of"
"3141","but im",18,"but","im"
"3142","but now",18,"but","now"
"3143","by this",18,"by","this"
"3144","car and",18,"car","and"
"3145","children are",18,"children","are"
"3146","dealing with",18,"dealing","with"
"3147","down for",18,"down","for"
"3148","else is",18,"else","is"
"3149","even when",18,"even","when"
"3150","example of",18,"example","of"
"3151","except for",18,"except","for"
"3152","facebook page",18,"facebook","page"
"3153","fall asleep",18,"fall","asleep"
"3154","few months",18,"few","months"
"3155","few more",18,"few","more"
"3156","first place",18,"first","place"
"3157","following the",18,"following","the"
"3158","for everyone",18,"for","everyone"
"3159","for making",18,"for","making"
"3160","for no",18,"for","no"
"3161","found the",18,"found","the"
"3162","friends who",18,"friends","who"
"3163","from all",18,"from","all"
"3164","get an",18,"get","an"
"3165","get more",18,"get","more"
"3166","go follow",18,"go","follow"
"3167","go home",18,"go","home"
"3168","goes on",18,"goes","on"
"3169","good job",18,"good","job"
"3170","good stuff",18,"good","stuff"
"3171","good times",18,"good","times"
"3172","got me",18,"got","me"
"3173","growing up",18,"growing","up"
"3174","have also",18,"have","also"
"3175","have decided",18,"have","decided"
"3176","have just",18,"have","just"
"3177","have read",18,"have","read"
"3178","have so",18,"have","so"
"3179","he just",18,"he","just"
"3180","he wants",18,"he","wants"
"3181","head and",18,"head","and"
"3182","heard of",18,"heard","of"
"3183","here to",18,"here","to"
"3184","his face",18,"his","face"
"3185","his father",18,"his","father"
"3186","his life",18,"his","life"
"3187","home for",18,"home","for"
"3188","hoping to",18,"hoping","to"
"3189","i enjoy",18,"i","enjoy"
"3190","i wasnt",18,"i","wasnt"
"3191","i wrote",18,"i","wrote"
"3192","in days",18,"in","days"
"3193","in every",18,"in","every"
"3194","in here",18,"in","here"
"3195","in you",18,"in","you"
"3196","involved in",18,"involved","in"
"3197","is currently",18,"is","currently"
"3198","is easy",18,"is","easy"
"3199","is finally",18,"is","finally"
"3200","is happening",18,"is","happening"
"3201","is with",18,"is","with"
"3202","it from",18,"it","from"
"3203","it gets",18,"it","gets"
"3204","it never",18,"it","never"
"3205","its own",18,"its","own"
"3206","kids are",18,"kids","are"
"3207","last one",18,"last","one"
"3208","life of",18,"life","of"
"3209","loss of",18,"loss","of"
"3210","love a",18,"love","a"
"3211","love how",18,"love","how"
"3212","loved it",18,"loved","it"
"3213","make up",18,"make","up"
"3214","maybe we",18,"maybe","we"
"3215","me your",18,"me","your"
"3216","mom and",18,"mom","and"
"3217","money to",18,"money","to"
"3218","move on",18,"move","on"
"3219","my father",18,"my","father"
"3220","my old",18,"my","old"
"3221","nature of",18,"nature","of"
"3222","near the",18,"near","the"
"3223","never get",18,"never","get"
"3224","new jersey",18,"new","jersey"
"3225","no reason",18,"no","reason"
"3226","not an",18,"not","an"
"3227","not good",18,"not","good"
"3228","not mind",18,"not","mind"
"3229","not tell",18,"not","tell"
"3230","not understand",18,"not","understand"
"3231","nothing like",18,"nothing","like"
"3232","now a",18,"now","a"
"3233","of who",18,"of","who"
"3234","of years",18,"of","years"
"3235","oh yes",18,"oh","yes"
"3236","ok i",18,"ok","i"
"3237","once in",18,"once","in"
"3238","only have",18,"only","have"
"3239","or at",18,"or","at"
"3240","over at",18,"over","at"
"3241","over this",18,"over","this"
"3242","pictures of",18,"pictures","of"
"3243","playing with",18,"playing","with"
"3244","president of",18,"president","of"
"3245","put on",18,"put","on"
"3246","real life",18,"real","life"
"3247","really good",18,"really","good"
"3248","role in",18,"role","in"
"3249","seeing the",18,"seeing","the"
"3250","send a",18,"send","a"
"3251","signed up",18,"signed","up"
"3252","so when",18,"so","when"
"3253","star wars",18,"star","wars"
"3254","still be",18,"still","be"
"3255","stuck in",18,"stuck","in"
"3256","that his",18,"that","his"
"3257","that last",18,"that","last"
"3258","that might",18,"that","might"
"3259","that people",18,"that","people"
"3260","the bathroom",18,"the","bathroom"
"3261","the card",18,"the","card"
"3262","the court",18,"the","court"
"3263","the fun",18,"the","fun"
"3264","the least",18,"the","least"
"3265","the life",18,"the","life"
"3266","the opportunity",18,"the","opportunity"
"3267","the outside",18,"the","outside"
"3268","the states",18,"the","states"
"3269","the studio",18,"the","studio"
"3270","the support",18,"the","support"
"3271","the title",18,"the","title"
"3272","the war",18,"the","war"
"3273","the winner",18,"the","winner"
"3274","their children",18,"their","children"
"3275","their lives",18,"their","lives"
"3276","them the",18,"them","the"
"3277","there in",18,"there","in"
"3278","they may",18,"they","may"
"3279","thing you",18,"thing","you"
"3280","things like",18,"things","like"
"3281","think this",18,"think","this"
"3282","this country",18,"this","country"
"3283","this game",18,"this","game"
"3284","this years",18,"this","years"
"3285","times i",18,"times","i"
"3286","to accept",18,"to","accept"
"3287","to improve",18,"to","improve"
"3288","to reach",18,"to","reach"
"3289","to teach",18,"to","teach"
"3290","towards the",18,"towards","the"
"3291","tune in",18,"tune","in"
"3292","unless you",18,"unless","you"
"3293","up as",18,"up","as"
"3294","us at",18,"us","at"
"3295","wait till",18,"wait","till"
"3296","was for",18,"was","for"
"3297","was good",18,"was","good"
"3298","was more",18,"was","more"
"3299","was never",18,"was","never"
"3300","was only",18,"was","only"
"3301","we both",18,"we","both"
"3302","we made",18,"we","made"
"3303","we think",18,"we","think"
"3304","weekend i",18,"weekend","i"
"3305","while they",18,"while","they"
"3306","why you",18,"why","you"
"3307","will follow",18,"will","follow"
"3308","will try",18,"will","try"
"3309","with its",18,"with","its"
"3310","with two",18,"with","two"
"3311","woman who",18,"woman","who"
"3312","women and",18,"women","and"
"3313","words and",18,"words","and"
"3314","would do",18,"would","do"
"3315","would i",18,"would","i"
"3316","year the",18,"year","the"
"3317","yet i",18,"yet","i"
"3318","you call",18,"you","call"
"3319","you doing",18,"you","doing"
"3320","you from",18,"you","from"
"3321","you how",18,"you","how"
"3322","you mean",18,"you","mean"
"3323","you up",18,"you","up"
"3324","your mom",18,"your","mom"
"3325","your tweets",18,"your","tweets"
"3326","a drink",17,"a","drink"
"3327","a heart",17,"a","heart"
"3328","a link",17,"a","link"
"3329","a look",17,"a","look"
"3330","a major",17,"a","major"
"3331","a party",17,"a","party"
"3332","a post",17,"a","post"
"3333","a question",17,"a","question"
"3334","a result",17,"a","result"
"3335","a strong",17,"a","strong"
"3336","a word",17,"a","word"
"3337","about his",17,"about","his"
"3338","accept the",17,"accept","the"
"3339","act like",17,"act","like"
"3340","add to",17,"add","to"
"3341","age of",17,"age","of"
"3342","all our",17,"all","our"
"3343","am ready",17,"am","ready"
"3344","and am",17,"and","am"
"3345","and check",17,"and","check"
"3346","and good",17,"and","good"
"3347","and having",17,"and","having"
"3348","and new",17,"and","new"
"3349","and u",17,"and","u"
"3350","any more",17,"any","more"
"3351","are interested",17,"are","interested"
"3352","are too",17,"are","too"
"3353","are trying",17,"are","trying"
"3354","are two",17,"are","two"
"3355","as far",17,"as","far"
"3356","at times",17,"at","times"
"3357","back home",17,"back","home"
"3358","back i",17,"back","i"
"3359","be better",17,"be","better"
"3360","be going",17,"be","going"
"3361","be happy",17,"be","happy"
"3362","be here",17,"be","here"
"3363","before and",17,"before","and"
"3364","being in",17,"being","in"
"3365","blog post",17,"blog","post"
"3366","but how",17,"but","how"
"3367","but rather",17,"but","rather"
"3368","came across",17,"came","across"
"3369","comment on",17,"comment","on"
"3370","could make",17,"could","make"
"3371","desire to",17,"desire","to"
"3372","details of",17,"details","of"
"3373","do all",17,"do","all"
"3374","does anyone",17,"does","anyone"
"3375","enjoy your",17,"enjoy","your"
"3376","everyone in",17,"everyone","in"
"3377","feel free",17,"feel","free"
"3378","feel that",17,"feel","that"
"3379","feeling of",17,"feeling","of"
"3380","few hours",17,"few","hours"
"3381","figured out",17,"figured","out"
"3382","follow and",17,"follow","and"
"3383","for people",17,"for","people"
"3384","for work",17,"for","work"
"3385","friday night",17,"friday","night"
"3386","from home",17,"from","home"
"3387","from to",17,"from","to"
"3388","good as",17,"good","as"
"3389","good night",17,"good","night"
"3390","got back",17,"got","back"
"3391","great i",17,"great","i"
"3392","grow up",17,"grow","up"
"3393","hanging out",17,"hanging","out"
"3394","have only",17,"have","only"
"3395","have taken",17,"have","taken"
"3396","have tried",17,"have","tried"
"3397","hear it",17,"hear","it"
"3398","her with",17,"her","with"
"3399","hunger games",17,"hunger","games"
"3400","i chose",17,"i","chose"
"3401","i spent",17,"i","spent"
"3402","in nyc",17,"in","nyc"
"3403","in what",17,"in","what"
"3404","is crazy",17,"is","crazy"
"3405","is funny",17,"is","funny"
"3406","is off",17,"is","off"
"3407","is ok",17,"is","ok"
"3408","it like",17,"it","like"
"3409","it lol",17,"it","lol"
"3410","it means",17,"it","means"
"3411","it now",17,"it","now"
"3412","it works",17,"it","works"
"3413","kinds of",17,"kinds","of"
"3414","know where",17,"know","where"
"3415","known for",17,"known","for"
"3416","knows what",17,"knows","what"
"3417","like what",17,"like","what"
"3418","makes a",17,"makes","a"
"3419","matter of",17,"matter","of"
"3420","matter what",17,"matter","what"
"3421","me an",17,"me","an"
"3422","mean that",17,"mean","that"
"3423","miss my",17,"miss","my"
"3424","moment i",17,"moment","i"
"3425","more likely",17,"more","likely"
"3426","moved to",17,"moved","to"
"3427","my back",17,"my","back"
"3428","my home",17,"my","home"
"3429","my opinion",17,"my","opinion"
"3430","never be",17,"never","be"
"3431","not because",17,"not","because"
"3432","not on",17,"not","on"
"3433","not sleep",17,"not","sleep"
"3434","now for",17,"now","for"
"3435","of day",17,"of","day"
"3436","of every",17,"of","every"
"3437","of others",17,"of","others"
"3438","on tv",17,"on","tv"
"3439","one can",17,"one","can"
"3440","one for",17,"one","for"
"3441","one time",17,"one","time"
"3442","or an",17,"or","an"
"3443","other day",17,"other","day"
"3444","our friends",17,"our","friends"
"3445","our way",17,"our","way"
"3446","out our",17,"out","our"
"3447","over it",17,"over","it"
"3448","people and",17,"people","and"
"3449","perhaps the",17,"perhaps","the"
"3450","photos of",17,"photos","of"
"3451","place for",17,"place","for"
"3452","place on",17,"place","on"
"3453","put my",17,"put","my"
"3454","read about",17,"read","about"
"3455","reading this",17,"reading","this"
"3456","response to",17,"response","to"
"3457","right and",17,"right","and"
"3458","sad to",17,"sad","to"
"3459","said she",17,"said","she"
"3460","said to",17,"said","to"
"3461","same as",17,"same","as"
"3462","same here",17,"same","here"
"3463","say this",17,"say","this"
"3464","say to",17,"say","to"
"3465","saying that",17,"saying","that"
"3466","seem like",17,"seem","like"
"3467","share with",17,"share","with"
"3468","she can",17,"she","can"
"3469","simple and",17,"simple","and"
"3470","so a",17,"so","a"
"3471","so there",17,"so","there"
"3472","so tired",17,"so","tired"
"3473","something about",17,"something","about"
"3474","sometimes it",17,"sometimes","it"
"3475","south africa",17,"south","africa"
"3476","take care",17,"take","care"
"3477","take you",17,"take","you"
"3478","takes a",17,"takes","a"
"3479","taking the",17,"taking","the"
"3480","tell us",17,"tell","us"
"3481","than it",17,"than","it"
"3482","that for",17,"that","for"
"3483","that im",17,"that","im"
"3484","that moment",17,"that","moment"
"3485","that some",17,"that","some"
"3486","the band",17,"the","band"
"3487","the bed",17,"the","bed"
"3488","the blue",17,"the","blue"
"3489","the details",17,"the","details"
"3490","the doctor",17,"the","doctor"
"3491","the east",17,"the","east"
"3492","the face",17,"the","face"
"3493","the ff",17,"the","ff"
"3494","the high",17,"the","high"
"3495","the history",17,"the","history"
"3496","the image",17,"the","image"
"3497","the many",17,"the","many"
"3498","the nd",17,"the","nd"
"3499","the pool",17,"the","pool"
"3500","the restaurant",17,"the","restaurant"
"3501","the size",17,"the","size"
"3502","them they",17,"them","they"
"3503","then she",17,"then","she"
"3504","then that",17,"then","that"
"3505","things you",17,"things","you"
"3506","this story",17,"this","story"
"3507","thought the",17,"thought","the"
"3508","three of",17,"three","of"
"3509","through my",17,"through","my"
"3510","tickets to",17,"tickets","to"
"3511","times a",17,"times","a"
"3512","to any",17,"to","any"
"3513","to fall",17,"to","fall"
"3514","to purchase",17,"to","purchase"
"3515","to sing",17,"to","sing"
"3516","to someone",17,"to","someone"
"3517","to stand",17,"to","stand"
"3518","tomorrow i",17,"tomorrow","i"
"3519","ton of",17,"ton","of"
"3520","trust me",17,"trust","me"
"3521","turn out",17,"turn","out"
"3522","until we",17,"until","we"
"3523","used the",17,"used","the"
"3524","valentines day",17,"valentines","day"
"3525","way we",17,"way","we"
"3526","week of",17,"week","of"
"3527","weeks of",17,"weeks","of"
"3528","were all",17,"were","all"
"3529","when is",17,"when","is"
"3530","will let",17,"will","let"
"3531","will say",17,"will","say"
"3532","with what",17,"with","what"
"3533","without the",17,"without","the"
"3534","wonder what",17,"wonder","what"
"3535","working in",17,"working","in"
"3536","you about",17,"you","about"
"3537","you come",17,"you","come"
"3538","you if",17,"you","if"
"3539","you not",17,"you","not"
"3540","you put",17,"you","put"
"3541","you soon",17,"you","soon"
"3542","your body",17,"your","body"
"3543","your email",17,"your","email"
"3544","a cup",16,"a","cup"
"3545","a feeling",16,"a","feeling"
"3546","a glass",16,"a","glass"
"3547","a nap",16,"a","nap"
"3548","a plan",16,"a","plan"
"3549","a song",16,"a","song"
"3550","a state",16,"a","state"
"3551","a writer",16,"a","writer"
"3552","added to",16,"added","to"
"3553","addicted to",16,"addicted","to"
"3554","again for",16,"again","for"
"3555","ago and",16,"ago","and"
"3556","all it",16,"all","it"
"3557","all we",16,"all","we"
"3558","am looking",16,"am","looking"
"3559","am to",16,"am","to"
"3560","an end",16,"an","end"
"3561","an entire",16,"an","entire"
"3562","an extra",16,"an","extra"
"3563","an interesting",16,"an","interesting"
"3564","and follow",16,"and","follow"
"3565","and many",16,"and","many"
"3566","and me",16,"and","me"
"3567","and over",16,"and","over"
"3568","and since",16,"and","since"
"3569","and tell",16,"and","tell"
"3570","and two",16,"and","two"
"3571","and watch",16,"and","watch"
"3572","and while",16,"and","while"
"3573","apart from",16,"apart","from"
"3574","april th",16,"april","th"
"3575","are from",16,"are","from"
"3576","are making",16,"are","making"
"3577","are really",16,"are","really"
"3578","as his",16,"as","his"
"3579","at once",16,"at","once"
"3580","at you",16,"at","you"
"3581","away the",16,"away","the"
"3582","awesome i",16,"awesome","i"
"3583","bad i",16,"bad","i"
"3584","been there",16,"been","there"
"3585","before it",16,"before","it"
"3586","being able",16,"being","able"
"3587","believe i",16,"believe","i"
"3588","beyond the",16,"beyond","the"
"3589","big fan",16,"big","fan"
"3590","book is",16,"book","is"
"3591","by that",16,"by","that"
"3592","by their",16,"by","their"
"3593","call for",16,"call","for"
"3594","call the",16,"call","the"
"3595","call to",16,"call","to"
"3596","came from",16,"came","from"
"3597","can have",16,"can","have"
"3598","capable of",16,"capable","of"
"3599","chose to",16,"chose","to"
"3600","city of",16,"city","of"
"3601","clothes and",16,"clothes","and"
"3602","come see",16,"come","see"
"3603","coming from",16,"coming","from"
"3604","compared to",16,"compared","to"
"3605","could get",16,"could","get"
"3606","could see",16,"could","see"
"3607","days ago",16,"days","ago"
"3608","did he",16,"did","he"
"3609","doing the",16,"doing","the"
"3610","done in",16,"done","in"
"3611","done to",16,"done","to"
"3612","enjoy it",16,"enjoy","it"
"3613","far more",16,"far","more"
"3614","few people",16,"few","people"
"3615","find that",16,"find","that"
"3616","follow my",16,"follow","my"
"3617","follow you",16,"follow","you"
"3618","for next",16,"for","next"
"3619","found in",16,"found","in"
"3620","from one",16,"from","one"
"3621","from there",16,"from","there"
"3622","fun of",16,"fun","of"
"3623","girl and",16,"girl","and"
"3624","give the",16,"give","the"
"3625","go i",16,"go","i"
"3626","good at",16,"good","at"
"3627","good but",16,"good","but"
"3628","had it",16,"had","it"
"3629","had just",16,"had","just"
"3630","happens to",16,"happens","to"
"3631","has changed",16,"has","changed"
"3632","has done",16,"has","done"
"3633","have all",16,"have","all"
"3634","have gotten",16,"have","gotten"
"3635","have my",16,"have","my"
"3636","have them",16,"have","them"
"3637","have two",16,"have","two"
"3638","hear from",16,"hear","from"
"3639","her a",16,"her","a"
"3640","her the",16,"her","the"
"3641","his head",16,"his","head"
"3642","i give",16,"i","give"
"3643","i picked",16,"i","picked"
"3644","i watched",16,"i","watched"
"3645","i wont",16,"i","wont"
"3646","im just",16,"im","just"
"3647","in between",16,"in","between"
"3648","in march",16,"in","march"
"3649","in may",16,"in","may"
"3650","into it",16,"into","it"
"3651","into our",16,"into","our"
"3652","into this",16,"into","this"
"3653","is already",16,"is","already"
"3654","is even",16,"is","even"
"3655","is never",16,"is","never"
"3656","is ready",16,"is","ready"
"3657","is their",16,"is","their"
"3658","it because",16,"it","because"
"3659","it seemed",16,"it","seemed"
"3660","just another",16,"just","another"
"3661","just wanna",16,"just","wanna"
"3662","keep my",16,"keep","my"
"3663","knew it",16,"knew","it"
"3664","lead to",16,"lead","to"
"3665","learned that",16,"learned","that"
"3666","life in",16,"life","in"
"3667","lived in",16,"lived","in"
"3668","make sense",16,"make","sense"
"3669","manage to",16,"manage","to"
"3670","maybe it",16,"maybe","it"
"3671","me about",16,"me","about"
"3672","me from",16,"me","from"
"3673","me want",16,"me","want"
"3674","minutes to",16,"minutes","to"
"3675","more important",16,"more","important"
"3676","move to",16,"move","to"
"3677","much love",16,"much","love"
"3678","my love",16,"my","love"
"3679","need of",16,"need","of"
"3680","never have",16,"never","have"
"3681","not at",16,"not","at"
"3682","not one",16,"not","one"
"3683","now have",16,"now","have"
"3684","of another",16,"of","another"
"3685","off for",16,"off","for"
"3686","on fb",16,"on","fb"
"3687","on fire",16,"on","fire"
"3688","on them",16,"on","them"
"3689","one on",16,"one","on"
"3690","one was",16,"one","was"
"3691","ones who",16,"ones","who"
"3692","only be",16,"only","be"
"3693","or maybe",16,"or","maybe"
"3694","or whatever",16,"or","whatever"
"3695","out by",16,"out","by"
"3696","out if",16,"out","if"
"3697","past the",16,"past","the"
"3698","people do",16,"people","do"
"3699","perfect for",16,"perfect","for"
"3700","post and",16,"post","and"
"3701","quality of",16,"quality","of"
"3702","question is",16,"question","is"
"3703","r u",16,"r","u"
"3704","read a",16,"read","a"
"3705","really know",16,"really","know"
"3706","referred to",16,"referred","to"
"3707","regardless of",16,"regardless","of"
"3708","respect for",16,"respect","for"
"3709","right i",16,"right","i"
"3710","salt and",16,"salt","and"
"3711","she also",16,"she","also"
"3712","she did",16,"she","did"
"3713","she says",16,"she","says"
"3714","show is",16,"show","is"
"3715","sit down",16,"sit","down"
"3716","size of",16,"size","of"
"3717","so well",16,"so","well"
"3718","some new",16,"some","new"
"3719","something you",16,"something","you"
"3720","story is",16,"story","is"
"3721","sure how",16,"sure","how"
"3722","sure if",16,"sure","if"
"3723","sure it",16,"sure","it"
"3724","talked about",16,"talked","about"
"3725","talks about",16,"talks","about"
"3726","team is",16,"team","is"
"3727","tell her",16,"tell","her"
"3728","tell him",16,"tell","him"
"3729","text me",16,"text","me"
"3730","th and",16,"th","and"
"3731","thank u",16,"thank","u"
"3732","that night",16,"that","night"
"3733","the actual",16,"the","actual"
"3734","the average",16,"the","average"
"3735","the character",16,"the","character"
"3736","the cold",16,"the","cold"
"3737","the conference",16,"the","conference"
"3738","the economy",16,"the","economy"
"3739","the fourth",16,"the","fourth"
"3740","the full",16,"the","full"
"3741","the highest",16,"the","highest"
"3742","the inside",16,"the","inside"
"3743","the lake",16,"the","lake"
"3744","the letter",16,"the","letter"
"3745","the mind",16,"the","mind"
"3746","the moon",16,"the","moon"
"3747","the nation",16,"the","nation"
"3748","the need",16,"the","need"
"3749","the novel",16,"the","novel"
"3750","the ocean",16,"the","ocean"
"3751","the oven",16,"the","oven"
"3752","the park",16,"the","park"
"3753","the post",16,"the","post"
"3754","the program",16,"the","program"
"3755","the race",16,"the","race"
"3756","the recipe",16,"the","recipe"
"3757","the special",16,"the","special"
"3758","the start",16,"the","start"
"3759","the term",16,"the","term"
"3760","the town",16,"the","town"
"3761","the uk",16,"the","uk"
"3762","the university",16,"the","university"
"3763","the usual",16,"the","usual"
"3764","the wind",16,"the","wind"
"3765","the window",16,"the","window"
"3766","the wonderful",16,"the","wonderful"
"3767","there a",16,"there","a"
"3768","they all",16,"they","all"
"3769","they make",16,"they","make"
"3770","this but",16,"this","but"
"3771","this new",16,"this","new"
"3772","though the",16,"though","the"
"3773","thought that",16,"thought","that"
"3774","thought you",16,"thought","you"
"3775","three times",16,"three","times"
"3776","thx for",16,"thx","for"
"3777","to achieve",16,"to","achieve"
"3778","to connect",16,"to","connect"
"3779","to cut",16,"to","cut"
"3780","to die",16,"to","die"
"3781","to drive",16,"to","drive"
"3782","to hang",16,"to","hang"
"3783","to its",16,"to","its"
"3784","to return",16,"to","return"
"3785","today it",16,"today","it"
"3786","try and",16,"try","and"
"3787","turn to",16,"turn","to"
"3788","turns out",16,"turns","out"
"3789","until you",16,"until","you"
"3790","up early",16,"up","early"
"3791","us get",16,"us","get"
"3792","us the",16,"us","the"
"3793","wait until",16,"wait","until"
"3794","was your",16,"was","your"
"3795","water and",16,"water","and"
"3796","way it",16,"way","it"
"3797","we dont",16,"we","dont"
"3798","we may",16,"we","may"
"3799","week we",16,"week","we"
"3800","were so",16,"were","so"
"3801","were still",16,"were","still"
"3802","what does",16,"what","does"
"3803","what makes",16,"what","makes"
"3804","where to",16,"where","to"
"3805","while we",16,"while","we"
"3806","why can",16,"why","can"
"3807","will also",16,"will","also"
"3808","will probably",16,"will","probably"
"3809","winning the",16,"winning","the"
"3810","with any",16,"with","any"
"3811","with such",16,"with","such"
"3812","world is",16,"world","is"
"3813","would it",16,"would","it"
"3814","yes that",16,"yes","that"
"3815","yet to",16,"yet","to"
"3816","you my",16,"you","my"
"3817","you please",16,"you","please"
"3818","you wanna",16,"you","wanna"
"3819","your work",16,"your","work"
"3820","a beer",15,"a","beer"
"3821","a call",15,"a","call"
"3822","a change",15,"a","change"
"3823","a daily",15,"a","daily"
"3824","a fair",15,"a","fair"
"3825","a first",15,"a","first"
"3826","a home",15,"a","home"
"3827","a house",15,"a","house"
"3828","a i",15,"a","i"
"3829","a much",15,"a","much"
"3830","a night",15,"a","night"
"3831","a project",15,"a","project"
"3832","a total",15,"a","total"
"3833","about an",15,"about","an"
"3834","about me",15,"about","me"
"3835","about them",15,"about","them"
"3836","afraid to",15,"afraid","to"
"3837","all a",15,"all","a"
"3838","all know",15,"all","know"
"3839","all things",15,"all","things"
"3840","also in",15,"also","in"
"3841","always have",15,"always","have"
"3842","am now",15,"am","now"
"3843","am taking",15,"am","taking"
"3844","am thinking",15,"am","thinking"
"3845","and eat",15,"and","eat"
"3846","and less",15,"and","less"
"3847","and people",15,"and","people"
"3848","and start",15,"and","start"
"3849","and think",15,"and","think"
"3850","and white",15,"and","white"
"3851","are like",15,"are","like"
"3852","are right",15,"are","right"
"3853","around for",15,"around","for"
"3854","around in",15,"around","in"
"3855","at their",15,"at","their"
"3856","at what",15,"at","what"
"3857","be available",15,"be","available"
"3858","be over",15,"be","over"
"3859","beautiful and",15,"beautiful","and"
"3860","became a",15,"became","a"
"3861","because my",15,"because","my"
"3862","bed and",15,"bed","and"
"3863","before he",15,"before","he"
"3864","behind me",15,"behind","me"
"3865","being at",15,"being","at"
"3866","best to",15,"best","to"
"3867","black and",15,"black","and"
"3868","bought a",15,"bought","a"
"3869","business and",15,"business","and"
"3870","but was",15,"but","was"
"3871","by all",15,"by","all"
"3872","can and",15,"can","and"
"3873","can read",15,"can","read"
"3874","can take",15,"can","take"
"3875","can tell",15,"can","tell"
"3876","choice of",15,"choice","of"
"3877","choose to",15,"choose","to"
"3878","cinco de",15,"cinco","de"
"3879","click on",15,"click","on"
"3880","collection of",15,"collection","of"
"3881","customer service",15,"customer","service"
"3882","day before",15,"day","before"
"3883","day off",15,"day","off"
"3884","de mayo",15,"de","mayo"
"3885","definition of",15,"definition","of"
"3886","did that",15,"did","that"
"3887","didnt have",15,"didnt","have"
"3888","doing what",15,"doing","what"
"3889","during my",15,"during","my"
"3890","everyone else",15,"everyone","else"
"3891","everything that",15,"everything","that"
"3892","face the",15,"face","the"
"3893","fact i",15,"fact","i"
