"","word","freq","first_Nmin1","last","first","second"
"1970","you can find",10,"you can","find","you","can"
"1971","you can use",10,"you can","use","you","can"
"1972","you if you",10,"you if","you","you","if"
"1973","you need a",10,"you need","a","you","need"
"1974","you would have",10,"you would","have","you","would"
"1975","a bag of",9,"a bag","of","a","bag"
"1976","a big deal",9,"a big","deal","a","big"
"1977","a book that",9,"a book","that","a","book"
"1978","a cup of",9,"a cup","of","a","cup"
"1979","a few things",9,"a few","things","a","few"
"1980","a member of",9,"a member","of","a","member"
"1981","a very happy",9,"a very","happy","a","very"
"1982","a week ago",9,"a week","ago","a","week"
"1983","able to make",9,"able to","make","able","to"
"1984","admit that i",9,"admit that","i","admit","that"
"1985","all of this",9,"all of","this","all","of"
"1986","also have a",9,"also have","a","also","have"
"1987","am having a",9,"am having","a","am","having"
"1988","am looking forward",9,"am looking","forward","am","looking"
"1989","amount of time",9,"amount of","time","amount","of"
"1990","an attempt to",9,"an attempt","to","an","attempt"
"1991","and a good",9,"and a","good","and","a"
"1992","and a lot",9,"and a","lot","and","a"
"1993","and at the",9,"and at","the","and","at"
"1994","and i could",9,"and i","could","and","i"
"1995","and i dont",9,"and i","dont","and","i"
"1996","and is a",9,"and is","a","and","is"
"1997","and make a",9,"and make","a","and","make"
"1998","and she is",9,"and she","is","and","she"
"1999","and thanks for",9,"and thanks","for","and","thanks"
"2000","and then we",9,"and then","we","and","then"
"2001","and when you",9,"and when","you","and","when"
"2002","and you have",9,"and you","have","and","you"
"2003","are a few",9,"are a","few","are","a"
"2004","are the same",9,"are the","same","are","the"
"2005","are you guys",9,"are you","guys","are","you"
"2006","around the corner",9,"around the","corner","around","the"
"2007","as one of",9,"as one","of","as","one"
"2008","at all the",9,"at all","the","at","all"
"2009","at least the",9,"at least","the","at","least"
"2010","awkward moment when",9,"awkward moment","when","awkward","moment"
"2011","back into the",9,"back into","the","back","into"
"2012","back to me",9,"back to","me","back","to"
"2013","back to sleep",9,"back to","sleep","back","to"
"2014","be a new",9,"be a","new","be","a"
"2015","be in a",9,"be in","a","be","in"
"2016","because we are",9,"because we","are","because","we"
"2017","been in the",9,"been in","the","been","in"
"2018","been trying to",9,"been trying","to","been","trying"
"2019","between the two",9,"between the","two","between","the"
"2020","can do this",9,"can do","this","can","do"
"2021","can not make",9,"can not","make","can","not"
"2022","cause i am",9,"cause i","am","cause","i"
"2023","coming to the",9,"coming to","the","coming","to"
"2024","congrats on the",9,"congrats on","the","congrats","on"
"2025","couple of weeks",9,"couple of","weeks","couple","of"
"2026","day to all",9,"day to","all","day","to"
"2027","decided to go",9,"decided to","go","decided","to"
"2028","did not realize",9,"did not","realize","did","not"
"2029","do i get",9,"do i","get","do","i"
"2030","do not believe",9,"do not","believe","do","not"
"2031","do not make",9,"do not","make","do","not"
"2032","do not remember",9,"do not","remember","do","not"
"2033","do not say",9,"do not","say","do","not"
"2034","do you guys",9,"do you","guys","do","you"
"2035","do you see",9,"do you","see","do","you"
"2036","does not know",9,"does not","know","does","not"
"2037","does not seem",9,"does not","seem","does","not"
"2038","dont have a",9,"dont have","a","dont","have"
"2039","end up in",9,"end up","in","end","up"
"2040","even if it",9,"even if","it","even","if"
"2041","feel bad for",9,"feel bad","for","feel","bad"
"2042","feel the same",9,"feel the","same","feel","the"
"2043","few years ago",9,"few years","ago","few","years"
"2044","focus on the",9,"focus on","the","focus","on"
"2045","for a job",9,"for a","job","for","a"
"2046","for the love",9,"for the","love","for","the"
"2047","for the retweet",9,"for the","retweet","for","the"
"2048","for the same",9,"for the","same","for","the"
"2049","for the weekend",9,"for the","weekend","for","the"
"2050","for your support",9,"for your","support","for","your"
"2051","forward to your",9,"forward to","your","forward","to"
"2052","from time to",9,"from time","to","from","time"
"2053","get into the",9,"get into","the","get","into"
"2054","get to see",9,"get to","see","get","to"
"2055","give you a",9,"give you","a","give","you"
"2056","going to a",9,"going to","a","going","to"
"2057","going to sleep",9,"going to","sleep","going","to"
"2058","going to try",9,"going to","try","going","to"
"2059","good luck with",9,"good luck","with","good","luck"
"2060","got a new",9,"got a","new","got","a"
"2061","great to have",9,"great to","have","great","to"
"2062","had a lot",9,"had a","lot","had","a"
"2063","had to go",9,"had to","go","had","to"
"2064","has always been",9,"has always","been","has","always"
"2065","hate it when",9,"hate it","when","hate","it"
"2066","hate when people",9,"hate when","people","hate","when"
"2067","have a very",9,"have a","very","have","a"
"2068","have been the",9,"have been","the","have","been"
"2069","have something to",9,"have something","to","have","something"
"2070","have to take",9,"have to","take","have","to"
"2071","he went to",9,"he went","to","he","went"
"2072","headed to the",9,"headed to","the","headed","to"
"2073","hope it is",9,"hope it","is","hope","it"
"2074","how do we",9,"how do","we","how","do"
"2075","how is that",9,"how is","that","how","is"
"2076","how is the",9,"how is","the","how","is"
"2077","how you can",9,"how you","can","how","you"
"2078","i am all",9,"i am","all","i","am"
"2079","i am already",9,"i am","already","i","am"
"2080","i am and",9,"i am","and","i","am"
"2081","i am currently",9,"i am","currently","i","am"
"2082","i am definitely",9,"i am","definitely","i","am"
"2083","i am listening",9,"i am","listening","i","am"
"2084","i am proud",9,"i am","proud","i","am"
"2085","i am saying",9,"i am","saying","i","am"
"2086","i am with",9,"i am","with","i","am"
"2087","i can be",9,"i can","be","i","can"
"2088","i can help",9,"i can","help","i","can"
"2089","i can only",9,"i can","only","i","can"
"2090","i can tell",9,"i can","tell","i","can"
"2091","i do it",9,"i do","it","i","do"
"2092","i ended up",9,"i ended","up","i","ended"
"2093","i found the",9,"i found","the","i","found"
"2094","i guess that",9,"i guess","that","i","guess"
"2095","i have come",9,"i have","come","i","have"
"2096","i have found",9,"i have","found","i","have"
"2097","i have so",9,"i have","so","i","have"
"2098","i have tried",9,"i have","tried","i","have"
"2099","i have used",9,"i have","used","i","have"
"2100","i hope it",9,"i hope","it","i","hope"
"2101","i hope that",9,"i hope","that","i","hope"
"2102","i just finished",9,"i just","finished","i","just"
"2103","i just realized",9,"i just","realized","i","just"
"2104","i knew i",9,"i knew","i","i","knew"
"2105","i know but",9,"i know","but","i","know"
"2106","i look forward",9,"i look","forward","i","look"
"2107","i may be",9,"i may","be","i","may"
"2108","i realized i",9,"i realized","i","i","realized"
"2109","i really wanted",9,"i really","wanted","i","really"
"2110","i saw a",9,"i saw","a","i","saw"
"2111","i think of",9,"i think","of","i","think"
"2112","i think so",9,"i think","so","i","think"
"2113","i thought the",9,"i thought","the","i","thought"
"2114","i want the",9,"i want","the","i","want"
"2115","i was really",9,"i was","really","i","was"
"2116","i will send",9,"i will","send","i","will"
"2117","i will tell",9,"i will","tell","i","will"
"2118","i would do",9,"i would","do","i","would"
"2119","i would go",9,"i would","go","i","would"
"2120","if i did",9,"if i","did","if","i"
"2121","if we are",9,"if we","are","if","we"
"2122","if you had",9,"if you","had","if","you"
"2123","in a good",9,"in a","good","in","a"
"2124","in any way",9,"in any","way","in","any"
"2125","in case you",9,"in case","you","in","case"
"2126","in my heart",9,"in my","heart","in","my"
"2127","in real life",9,"in real","life","in","real"
"2128","in the bottom",9,"in the","bottom","in","the"
"2129","in the comments",9,"in the","comments","in","the"
"2130","in the evening",9,"in the","evening","in","the"
"2131","in the form",9,"in the","form","in","the"
"2132","in the heart",9,"in the","heart","in","the"
"2133","in the shower",9,"in the","shower","in","the"
"2134","in the story",9,"in the","story","in","the"
"2135","instead of the",9,"instead of","the","instead","of"
"2136","is a huge",9,"is a","huge","is","a"
"2137","is at the",9,"is at","the","is","at"
"2138","is easy to",9,"is easy","to","is","easy"
"2139","is good to",9,"is good","to","is","good"
"2140","is how i",9,"is how","i","is","how"
"2141","is making me",9,"is making","me","is","making"
"2142","is no longer",9,"is no","longer","is","no"
"2143","is not as",9,"is not","as","is","not"
"2144","is not even",9,"is not","even","is","not"
"2145","is so good",9,"is so","good","is","so"
"2146","is the last",9,"is the","last","is","the"
"2147","it for a",9,"it for","a","it","for"
"2148","it is because",9,"it is","because","it","is"
"2149","it is friday",9,"it is","friday","it","is"
"2150","it is hot",9,"it is","hot","it","is"
"2151","it is only",9,"it is","only","it","is"
"2152","it is over",9,"it is","over","it","is"
"2153","it is with",9,"it is","with","it","is"
"2154","it is worth",9,"it is","worth","it","is"
"2155","it may be",9,"it may","be","it","may"
"2156","it really is",9,"it really","is","it","really"
"2157","it so much",9,"it so","much","it","so"
"2158","it to me",9,"it to","me","it","to"
"2159","it turned out",9,"it turned","out","it","turned"
"2160","it was fun",9,"it was","fun","it","was"
"2161","it was very",9,"it was","very","it","was"
"2162","it when i",9,"it when","i","it","when"
"2163","just got my",9,"just got","my","just","got"
"2164","just in time",9,"just in","time","just","in"
"2165","just need to",9,"just need","to","just","need"
"2166","just woke up",9,"just woke","up","just","woke"
"2167","know if i",9,"know if","i","know","if"
"2168","like they are",9,"like they","are","like","they"
"2169","live in a",9,"live in","a","live","in"
"2170","looking for an",9,"looking for","an","looking","for"
"2171","lot of the",9,"lot of","the","lot","of"
"2172","love to have",9,"love to","have","love","to"
"2173","love you too",9,"love you","too","love","you"
"2174","made it to",9,"made it","to","made","it"
"2175","managed to get",9,"managed to","get","managed","to"
"2176","may not have",9,"may not","have","may","not"
"2177","me and the",9,"me and","the","me","and"
"2178","me how to",9,"me how","to","me","how"
"2179","me to be",9,"me to","be","me","to"
"2180","meant to be",9,"meant to","be","meant","to"
"2181","more than million",9,"more than","million","more","than"
"2182","most of them",9,"most of","them","most","of"
"2183","my mom and",9,"my mom","and","my","mom"
"2184","my name is",9,"my name","is","my","name"
"2185","need to know",9,"need to","know","need","to"
"2186","need to stop",9,"need to","stop","need","to"
"2187","new york times",9,"new york","times","new","york"
"2188","next time i",9,"next time","i","next","time"
"2189","next to the",9,"next to","the","next","to"
"2190","night at the",9,"night at","the","night","at"
"2191","no idea how",9,"no idea","how","no","idea"
"2192","no idea what",9,"no idea","what","no","idea"
"2193","no it is",9,"no it","is","no","it"
"2194","none of the",9,"none of","the","none","of"
"2195","not believe in",9,"not believe","in","not","believe"
"2196","not give a",9,"not give","a","not","give"
"2197","not like the",9,"not like","the","not","like"
"2198","not make it",9,"not make","it","not","make"
"2199","now i can",9,"now i","can","now","i"
"2200","now is the",9,"now is","the","now","is"
"2201","of it and",9,"of it","and","of","it"
"2202","of my friends",9,"of my","friends","of","my"
"2203","of my own",9,"of my","own","of","my"
"2204","of the film",9,"of the","film","of","the"
"2205","of the s",9,"of the","s","of","the"
"2206","of the us",9,"of the","us","of","the"
"2207","of time and",9,"of time","and","of","time"
"2208","off to the",9,"off to","the","off","to"
"2209","oh my gosh",9,"oh my","gosh","oh","my"
"2210","on my blog",9,"on my","blog","on","my"
"2211","on the big",9,"on the","big","on","the"
"2212","once in a",9,"once in","a","once","in"
"2213","other than the",9,"other than","the","other","than"
"2214","out for a",9,"out for","a","out","for"
"2215","out if you",9,"out if","you","out","if"
"2216","out in a",9,"out in","a","out","in"
"2217","out of bed",9,"out of","bed","out","of"
"2218","out of their",9,"out of","their","out","of"
"2219","over the course",9,"over the","course","over","the"
"2220","over the weekend",9,"over the","weekend","over","the"
"2221","part of your",9,"part of","your","part","of"
"2222","people who are",9,"people who","are","people","who"
"2223","picked up a",9,"picked up","a","picked","up"
"2224","please let me",9,"please let","me","please","let"
"2225","proud of you",9,"proud of","you","proud","of"
"2226","put in a",9,"put in","a","put","in"
"2227","ready for a",9,"ready for","a","ready","for"
"2228","ready to be",9,"ready to","be","ready","to"
"2229","really wanted to",9,"really wanted","to","really","wanted"
"2230","referred to as",9,"referred to","as","referred","to"
"2231","right now is",9,"right now","is","right","now"
"2232","same to you",9,"same to","you","same","to"
"2233","say that the",9,"say that","the","say","that"
"2234","see you all",9,"see you","all","see","you"
"2235","she has been",9,"she has","been","she","has"
"2236","should be able",9,"should be","able","should","be"
"2237","should not have",9,"should not","have","should","not"
"2238","so i did",9,"so i","did","so","i"
"2239","so i was",9,"so i","was","so","i"
"2240","so that it",9,"so that","it","so","that"
"2241","someone who has",9,"someone who","has","someone","who"
"2242","still can not",9,"still can","not","still","can"
"2243","still do not",9,"still do","not","still","do"
"2244","such a big",9,"such a","big","such","a"
"2245","such as the",9,"such as","the","such","as"
"2246","take a nap",9,"take a","nap","take","a"
"2247","that is good",9,"that is","good","that","is"
"2248","that is great",9,"that is","great","that","is"
"2249","that kind of",9,"that kind","of","that","kind"
"2250","that they have",9,"that they","have","that","they"
"2251","that will not",9,"that will","not","that","will"
"2252","that you do",9,"that you","do","that","you"
"2253","the answer is",9,"the answer","is","the","answer"
"2254","the beauty of",9,"the beauty","of","the","beauty"
"2255","the house and",9,"the house","and","the","house"
"2256","the lack of",9,"the lack","of","the","lack"
"2257","the launch of",9,"the launch","of","the","launch"
"2258","the most beautiful",9,"the most","beautiful","the","most"
"2259","the need for",9,"the need","for","the","need"
"2260","the next few",9,"the next","few","the","next"
"2261","the one with",9,"the one","with","the","one"
"2262","the people of",9,"the people","of","the","people"
"2263","the reality of",9,"the reality","of","the","reality"
"2264","the result of",9,"the result","of","the","result"
"2265","the role of",9,"the role","of","the","role"
"2266","the things that",9,"the things","that","the","things"
"2267","the way you",9,"the way","you","the","way"
"2268","the white house",9,"the white","house","the","white"
"2269","them and they",9,"them and","they","them","and"
"2270","there were a",9,"there were","a","there","were"
"2271","they are so",9,"they are","so","they","are"
"2272","they were not",9,"they were","not","they","were"
"2273","they would have",9,"they would","have","they","would"
"2274","think there is",9,"think there","is","think","there"
"2275","think this is",9,"think this","is","think","this"
"2276","this is how",9,"this is","how","this","is"
"2277","this is true",9,"this is","true","this","is"
"2278","this is why",9,"this is","why","this","is"
"2279","this kind of",9,"this kind","of","this","kind"
"2280","this past weekend",9,"this past","weekend","this","past"
"2281","this year i",9,"this year","i","this","year"
"2282","those who have",9,"those who","have","those","who"
"2283","time for a",9,"time for","a","time","for"
"2284","time i am",9,"time i","am","time","i"
"2285","time to time",9,"time to","time","time","to"
"2286","to all who",9,"to all","who","to","all"
"2287","to be made",9,"to be","made","to","be"
"2288","to become a",9,"to become","a","to","become"
"2289","to choose from",9,"to choose","from","to","choose"
"2290","to come back",9,"to come","back","to","come"
"2291","to do to",9,"to do","to","to","do"
"2292","to find the",9,"to find","the","to","find"
"2293","to get them",9,"to get","them","to","get"
"2294","to get your",9,"to get","your","to","get"
"2295","to go for",9,"to go","for","to","go"
"2296","to hang out",9,"to hang","out","to","hang"
"2297","to have been",9,"to have","been","to","have"
"2298","to hear about",9,"to hear","about","to","hear"
"2299","to hear you",9,"to hear","you","to","hear"
"2300","to help you",9,"to help","you","to","help"
"2301","to learn to",9,"to learn","to","to","learn"
"2302","to live in",9,"to live","in","to","live"
"2303","to look for",9,"to look","for","to","look"
"2304","to say the",9,"to say","the","to","say"
"2305","to see that",9,"to see","that","to","see"
"2306","to send a",9,"to send","a","to","send"
"2307","to take the",9,"to take","the","to","take"
"2308","to the next",9,"to the","next","to","the"
"2309","to the world",9,"to the","world","to","the"
"2310","to try and",9,"to try","and","to","try"
"2311","to try it",9,"to try","it","to","try"
"2312","to worry about",9,"to worry","about","to","worry"
"2313","to write a",9,"to write","a","to","write"
"2314","tonight at the",9,"tonight at","the","tonight","at"
"2315","try to make",9,"try to","make","try","to"
"2316","turned out to",9,"turned out","to","turned","out"
"2317","us know what",9,"us know","what","us","know"
"2318","waiting for you",9,"waiting for","you","waiting","for"
"2319","was a bit",9,"was a","bit","was","a"
"2320","way back to",9,"way back","to","way","back"
"2321","we are doing",9,"we are","doing","we","are"
"2322","we could not",9,"we could","not","we","could"
"2323","we have got",9,"we have","got","we","have"
"2324","we would have",9,"we would","have","we","would"
"2325","we would love",9,"we would","love","we","would"
"2326","well it is",9,"well it","is","well","it"
"2327","went on to",9,"went on","to","went","on"
"2328","what am i",9,"what am","i","what","am"
"2329","what i did",9,"what i","did","what","i"
"2330","what i mean",9,"what i","mean","what","i"
"2331","what i think",9,"what i","think","what","i"
"2332","when i first",9,"when i","first","when","i"
"2333","when i see",9,"when i","see","when","i"
"2334","when i started",9,"when i","started","when","i"
"2335","when you can",9,"when you","can","when","you"
"2336","when you get",9,"when you","get","when","you"
"2337","where is the",9,"where is","the","where","is"
"2338","where it is",9,"where it","is","where","it"
"2339","who has the",9,"who has","the","who","has"
"2340","who i am",9,"who i","am","who","i"
"2341","who is a",9,"who is","a","who","is"
"2342","why are we",9,"why are","we","why","are"
"2343","why it is",9,"why it","is","why","it"
"2344","will be available",9,"will be","available","will","be"
"2345","will be doing",9,"will be","doing","will","be"
"2346","will continue to",9,"will continue","to","will","continue"
"2347","will get you",9,"will get","you","will","get"
"2348","will keep you",9,"will keep","you","will","keep"
"2349","will see you",9,"will see","you","will","see"
"2350","will tell you",9,"will tell","you","will","tell"
"2351","will try to",9,"will try","to","will","try"
"2352","would it be",9,"would it","be","would","it"
"2353","would not have",9,"would not","have","would","not"
"2354","years ago and",9,"years ago","and","years","ago"
"2355","yes that is",9,"yes that","is","yes","that"
"2356","you all the",9,"you all","the","you","all"
"2357","you are at",9,"you are","at","you","are"
"2358","you are having",9,"you are","having","you","are"
"2359","you can read",9,"you can","read","you","can"
"2360","you get a",9,"you get","a","you","get"
"2361","you get the",9,"you get","the","you","get"
"2362","you i am",9,"you i","am","you","i"
"2363","you tell me",9,"you tell","me","you","tell"
"2364","you think of",9,"you think","of","you","think"
"2365","you think you",9,"you think","you","you","think"
"2366","a brand new",8,"a brand","new","a","brand"
"2367","a break from",8,"a break","from","a","break"
"2368","a great idea",8,"a great","idea","a","great"
"2369","a great night",8,"a great","night","a","great"
"2370","a little too",8,"a little","too","a","little"
"2371","a look at",8,"a look","at","a","look"
"2372","a lot and",8,"a lot","and","a","lot"
"2373","a new one",8,"a new","one","a","new"
"2374","a place where",8,"a place","where","a","place"
"2375","a state of",8,"a state","of","a","state"
"2376","a wonderful day",8,"a wonderful","day","a","wonderful"
"2377","about how i",8,"about how","i","about","how"
"2378","about to get",8,"about to","get","about","to"
"2379","added to the",8,"added to","the","added","to"
"2380","addition to the",8,"addition to","the","addition","to"
"2381","again i am",8,"again i","am","again","i"
"2382","all i have",8,"all i","have","all","i"
"2383","all in the",8,"all in","the","all","in"
"2384","all of your",8,"all of","your","all","of"
"2385","all the same",8,"all the","same","all","the"
"2386","allow me to",8,"allow me","to","allow","me"
"2387","am listening to",8,"am listening","to","am","listening"
"2388","am so happy",8,"am so","happy","am","so"
"2389","and all that",8,"and all","that","and","all"
"2390","and i feel",8,"and i","feel","and","i"
"2391","and not the",8,"and not","the","and","not"
"2392","and so i",8,"and so","i","and","so"
"2393","and wanted to",8,"and wanted","to","and","wanted"
"2394","and we can",8,"and we","can","and","we"
"2395","are a lot",8,"are a","lot","are","a"
"2396","are having a",8,"are having","a","are","having"
"2397","are lots of",8,"are lots","of","are","lots"
"2398","are not the",8,"are not","the","are","not"
"2399","are some of",8,"are some","of","are","some"
"2400","are the ones",8,"are the","ones","are","the"
"2401","are you a",8,"are you","a","are","you"
"2402","as a gift",8,"as a","gift","as","a"
"2403","as quickly as",8,"as quickly","as","as","quickly"
"2404","at first i",8,"at first","i","at","first"
"2405","at night and",8,"at night","and","at","night"
"2406","at pm on",8,"at pm","on","at","pm"
"2407","at the show",8,"at the","show","at","the"
"2408","at this time",8,"at this","time","at","this"
"2409","back to back",8,"back to","back","back","to"
"2410","be a little",8,"be a","little","be","a"
"2411","be like a",8,"be like","a","be","like"
"2412","be the last",8,"be the","last","be","the"
"2413","be there for",8,"be there","for","be","there"
"2414","because of this",8,"because of","this","because","of"
"2415","been working on",8,"been working","on","been","working"
"2416","but he is",8,"but he","is","but","he"
"2417","but i know",8,"but i","know","but","i"
"2418","but it does",8,"but it","does","but","it"
"2419","but you will",8,"but you","will","but","you"
"2420","call it a",8,"call it","a","call","it"
"2421","came across a",8,"came across","a","came","across"
"2422","came up with",8,"came up","with","came","up"
"2423","can be the",8,"can be","the","can","be"
"2424","can help you",8,"can help","you","can","help"
"2425","can i say",8,"can i","say","can","i"
"2426","can not i",8,"can not","i","can","not"
"2427","can see that",8,"can see","that","can","see"
"2428","course of the",8,"course of","the","course","of"
"2429","day at the",8,"day at","the","day","at"
"2430","decided not to",8,"decided not","to","decided","not"
"2431","depending on how",8,"depending on","how","depending","on"
"2432","did not do",8,"did not","do","did","not"
"2433","did not like",8,"did not","like","did","not"
"2434","did you do",8,"did you","do","did","you"
"2435","do not drink",8,"do not","drink","do","not"
"2436","do not tell",8,"do not","tell","do","not"
"2437","do that i",8,"do that","i","do","that"
"2438","do you need",8,"do you","need","do","you"
"2439","does not matter",8,"does not","matter","does","not"
"2440","does that mean",8,"does that","mean","does","that"
"2441","dont have the",8,"dont have","the","dont","have"
"2442","during the day",8,"during the","day","during","the"
"2443","each other and",8,"each other","and","each","other"
"2444","edge of the",8,"edge of","the","edge","of"
"2445","end of this",8,"end of","this","end","of"
"2446","every once in",8,"every once","in","every","once"
"2447","familiar with the",8,"familiar with","the","familiar","with"
"2448","feels like a",8,"feels like","a","feels","like"
"2449","few of my",8,"few of","my","few","of"
"2450","follow me please",8,"follow me","please","follow","me"
"2451","for a day",8,"for a","day","for","a"
"2452","for a reason",8,"for a","reason","for","a"
"2453","for a week",8,"for a","week","for","a"
"2454","for all your",8,"for all","your","for","all"
"2455","for it to",8,"for it","to","for","it"
"2456","for many years",8,"for many","years","for","many"
"2457","for me this",8,"for me","this","for","me"
"2458","for more information",8,"for more","information","for","more"
"2459","for one of",8,"for one","of","for","one"
"2460","for the past",8,"for the","past","for","the"
"2461","for the rts",8,"for the","rts","for","the"
"2462","for the shoutout",8,"for the","shoutout","for","the"
"2463","forward to a",8,"forward to","a","forward","to"
"2464","forward to it",8,"forward to","it","forward","to"
"2465","friends and family",8,"friends and","family","friends","and"
"2466","get a chance",8,"get a","chance","get","a"
"2467","get on the",8,"get on","the","get","on"
"2468","get ready to",8,"get ready","to","get","ready"
"2469","get up and",8,"get up","and","get","up"
"2470","give up on",8,"give up","on","give","up"
"2471","go to bed",8,"go to","bed","go","to"
"2472","go to school",8,"go to","school","go","to"
"2473","go with the",8,"go with","the","go","with"
"2474","good place to",8,"good place","to","good","place"
"2475","got to see",8,"got to","see","got","to"
"2476","got to the",8,"got to","the","got","to"
"2477","great way to",8,"great way","to","great","way"
"2478","guess i am",8,"guess i","am","guess","i"
"2479","guess it is",8,"guess it","is","guess","it"
"2480","had to get",8,"had to","get","had","to"
"2481","has become a",8,"has become","a","has","become"
"2482","has the best",8,"has the","best","has","the"
"2483","have a chance",8,"have a","chance","have","a"
"2484","have any questions",8,"have any","questions","have","any"
"2485","have been trying",8,"have been","trying","have","been"
"2486","have not been",8,"have not","been","have","not"
"2487","have their own",8,"have their","own","have","their"
"2488","have to give",8,"have to","give","have","to"
"2489","have you been",8,"have you","been","have","you"
"2490","he had to",8,"he had","to","he","had"
"2491","he was the",8,"he was","the","he","was"
"2492","he will be",8,"he will","be","he","will"
"2493","he would be",8,"he would","be","he","would"
"2494","hear from you",8,"hear from","you","hear","from"
"2495","here are some",8,"here are","some","here","are"
"2496","here are the",8,"here are","the","here","are"
"2497","how can you",8,"how can","you","how","can"
"2498","how i feel",8,"how i","feel","how","i"
"2499","how much of",8,"how much","of","how","much"
"2500","i am actually",8,"i am","actually","i","am"
"2501","i am finally",8,"i am","finally","i","am"
"2502","i am giving",8,"i am","giving","i","am"
"2503","i am good",8,"i am","good","i","am"
"2504","i am hoping",8,"i am","hoping","i","am"
"2505","i am loving",8,"i am","loving","i","am"
"2506","i am making",8,"i am","making","i","am"
"2507","i am more",8,"i am","more","i","am"
"2508","i am one",8,"i am","one","i","am"
"2509","i am thankful",8,"i am","thankful","i","am"
"2510","i believe the",8,"i believe","the","i","believe"
"2511","i bet you",8,"i bet","you","i","bet"
"2512","i came across",8,"i came","across","i","came"
"2513","i didnt have",8,"i didnt","have","i","didnt"
"2514","i do i",8,"i do","i","i","do"
"2515","i find it",8,"i find","it","i","find"
"2516","i grew up",8,"i grew","up","i","grew"
"2517","i have done",8,"i have","done","i","have"
"2518","i have said",8,"i have","said","i","have"
"2519","i have some",8,"i have","some","i","have"
"2520","i highly recommend",8,"i highly","recommend","i","highly"
"2521","i just can",8,"i just","can","i","just"
"2522","i just love",8,"i just","love","i","just"
"2523","i just watched",8,"i just","watched","i","just"
"2524","i know this",8,"i know","this","i","know"
"2525","i know what",8,"i know","what","i","know"
"2526","i managed to",8,"i managed","to","i","managed"
"2527","i mean i",8,"i mean","i","i","mean"
"2528","i must say",8,"i must","say","i","must"
"2529","i need some",8,"i need","some","i","need"
"2530","i read the",8,"i read","the","i","read"
"2531","i realized that",8,"i realized","that","i","realized"
"2532","i really dont",8,"i really","dont","i","really"
"2533","i see it",8,"i see","it","i","see"
"2534","i started to",8,"i started","to","i","started"
"2535","i wake up",8,"i wake","up","i","wake"
"2536","i was too",8,"i was","too","i","was"
"2537","i wonder what",8,"i wonder","what","i","wonder"
"2538","if i want",8,"if i","want","if","i"
"2539","if you get",8,"if you","get","if","you"
"2540","in a large",8,"in a","large","in","a"
"2541","in a little",8,"in a","little","in","a"
"2542","in any case",8,"in any","case","in","any"
"2543","in favor of",8,"in favor","of","in","favor"
"2544","in for the",8,"in for","the","in","for"
"2545","in san diego",8,"in san","diego","in","san"
"2546","in the afternoon",8,"in the","afternoon","in","the"
"2547","in the day",8,"in the","day","in","the"
"2548","in the head",8,"in the","head","in","the"
"2549","in the office",8,"in the","office","in","the"
"2550","in the oven",8,"in the","oven","in","the"
"2551","in the sky",8,"in the","sky","in","the"
"2552","in the uk",8,"in the","uk","in","the"
"2553","in the usa",8,"in the","usa","in","the"
"2554","in the water",8,"in the","water","in","the"
"2555","is exactly what",8,"is exactly","what","is","exactly"
"2556","is not like",8,"is not","like","is","not"
"2557","is not really",8,"is not","really","is","not"
"2558","is not to",8,"is not","to","is","not"
"2559","is not what",8,"is not","what","is","not"
"2560","is that it",8,"is that","it","is","that"
"2561","is when i",8,"is when","i","is","when"
"2562","it for the",8,"it for","the","it","for"
"2563","it has to",8,"it has","to","it","has"
"2564","it in my",8,"it in","my","it","in"
"2565","it is actually",8,"it is","actually","it","is"
"2566","it is better",8,"it is","better","it","is"
"2567","it is for",8,"it is","for","it","is"
"2568","it is important",8,"it is","important","it","is"
"2569","it is quite",8,"it is","quite","it","is"
"2570","it is what",8,"it is","what","it","is"
"2571","it looked like",8,"it looked","like","it","looked"
"2572","it makes me",8,"it makes","me","it","makes"
"2573","it makes the",8,"it makes","the","it","makes"
"2574","it might be",8,"it might","be","it","might"
"2575","it takes to",8,"it takes","to","it","takes"
"2576","it took a",8,"it took","a","it","took"
"2577","it took me",8,"it took","me","it","took"
"2578","it was great",8,"it was","great","it","was"
"2579","it was time",8,"it was","time","it","was"
"2580","just did not",8,"just did","not","just","did"
"2581","just going to",8,"just going","to","just","going"
"2582","just got back",8,"just got","back","just","got"
"2583","keep in mind",8,"keep in","mind","keep","in"
"2584","keep it up",8,"keep it","up","keep","it"
"2585","kind of a",8,"kind of","a","kind","of"
"2586","knew it was",8,"knew it","was","knew","it"
"2587","know i have",8,"know i","have","know","i"
"2588","knows how to",8,"knows how","to","knows","how"
"2589","last day of",8,"last day","of","last","day"
"2590","last night and",8,"last night","and","last","night"
"2591","last night at",8,"last night","at","last","night"
"2592","life is not",8,"life is","not","life","is"
"2593","like a man",8,"like a","man","like","a"
"2594","like you are",8,"like you","are","like","you"
"2595","listen to the",8,"listen to","the","listen","to"
"2596","long time ago",8,"long time","ago","long","time"
"2597","love you so",8,"love you","so","love","you"
"2598","make a difference",8,"make a","difference","make","a"
"2599","make it a",8,"make it","a","make","it"
"2600","makes me want",8,"makes me","want","makes","me"
"2601","may be a",8,"may be","a","may","be"
"2602","may be the",8,"may be","the","may","be"
"2603","me why i",8,"me why","i","me","why"
