"","word","freq","first_Nmin1","last","first","first2","second","third"
"2176","i am coming to",3,"i am coming","to","i","i am","am","coming"
"2177","i am done with",3,"i am done","with","i","i am","am","done"
"2178","i am feeling a",3,"i am feeling","a","i","i am","am","feeling"
"2179","i am glad to",3,"i am glad","to","i","i am","am","glad"
"2180","i am glad you",3,"i am glad","you","i","i am","am","glad"
"2181","i am gonna have",3,"i am gonna","have","i","i am","am","gonna"
"2182","i am gonna miss",3,"i am gonna","miss","i","i am","am","gonna"
"2183","i am guessing that",3,"i am guessing","that","i","i am","am","guessing"
"2184","i am having to",3,"i am having","to","i","i am","am","having"
"2185","i am headed to",3,"i am headed","to","i","i am","am","headed"
"2186","i am here to",3,"i am here","to","i","i am","am","here"
"2187","i am in here",3,"i am in","here","i","i am","am","in"
"2188","i am looking for",3,"i am looking","for","i","i am","am","looking"
"2189","i am not completely",3,"i am not","completely","i","i am","am","not"
"2190","i am not exactly",3,"i am not","exactly","i","i am","am","not"
"2191","i am not feeling",3,"i am not","feeling","i","i am","am","not"
"2192","i am not so",3,"i am not","so","i","i am","am","not"
"2193","i am not what",3,"i am not","what","i","i am","am","not"
"2194","i am on it",3,"i am on","it","i","i am","am","on"
"2195","i am sad to",3,"i am sad","to","i","i am","am","sad"
"2196","i am sick of",3,"i am sick","of","i","i am","am","sick"
"2197","i am so jealous",3,"i am so","jealous","i","i am","am","so"
"2198","i am so thankful",3,"i am so","thankful","i","i am","am","so"
"2199","i am still in",3,"i am still","in","i","i am","am","still"
"2200","i am still trying",3,"i am still","trying","i","i am","am","still"
"2201","i am supposed to",3,"i am supposed","to","i","i am","am","supposed"
"2202","i am sure it",3,"i am sure","it","i","i am","am","sure"
"2203","i am taking my",3,"i am taking","my","i","i am","am","taking"
"2204","i am talking to",3,"i am talking","to","i","i am","am","talking"
"2205","i am thrilled that",3,"i am thrilled","that","i","i am","am","thrilled"
"2206","i am tired of",3,"i am tired","of","i","i am","am","tired"
"2207","i am to be",3,"i am to","be","i","i am","am","to"
"2208","i am very excited",3,"i am very","excited","i","i am","am","very"
"2209","i are going to",3,"i are going","to","i","i are","are","going"
"2210","i came up with",3,"i came up","with","i","i came","came","up"
"2211","i can dm you",3,"i can dm","you","i","i can","can","dm"
"2212","i can do that",3,"i can do","that","i","i can","can","do"
"2213","i can help you",3,"i can help","you","i","i can","can","help"
"2214","i can not be",3,"i can not","be","i","i can","can","not"
"2215","i can not do",3,"i can not","do","i","i can","can","not"
"2216","i can not take",3,"i can not","take","i","i can","can","not"
"2217","i can say that",3,"i can say","that","i","i can","can","say"
"2218","i could go on",3,"i could go","on","i","i could","could","go"
"2219","i could not be",3,"i could not","be","i","i could","could","not"
"2220","i could not have",3,"i could not","have","i","i could","could","not"
"2221","i could not stop",3,"i could not","stop","i","i could","could","not"
"2222","i did but i",3,"i did but","i","i","i did","did","but"
"2223","i did not mean",3,"i did not","mean","i","i did","did","not"
"2224","i did not say",3,"i did not","say","i","i did","did","not"
"2225","i did not see",3,"i did not","see","i","i did","did","not"
"2226","i didnt want to",3,"i didnt want","to","i","i didnt","didnt","want"
"2227","i do have a",3,"i do have","a","i","i do","do","have"
"2228","i do not do",3,"i do not","do","i","i do","do","not"
"2229","i do not expect",3,"i do not","expect","i","i do","do","not"
"2230","i do not follow",3,"i do not","follow","i","i do","do","not"
"2231","i dont feel like",3,"i dont feel","like","i","i dont","dont","feel"
"2232","i dont give a",3,"i dont give","a","i","i dont","dont","give"
"2233","i dont have the",3,"i dont have","the","i","i dont","dont","have"
"2234","i dont know i",3,"i dont know","i","i","i dont","dont","know"
"2235","i dont know if",3,"i dont know","if","i","i dont","dont","know"
"2236","i ever wanted was",3,"i ever wanted","was","i","i ever","ever","wanted"
"2237","i felt like i",3,"i felt like","i","i","i felt","felt","like"
"2238","i forgot how much",3,"i forgot how","much","i","i forgot","forgot","how"
"2239","i forgot to ask",3,"i forgot to","ask","i","i forgot","forgot","to"
"2240","i get it i",3,"i get it","i","i","i get","get","it"
"2241","i go to sleep",3,"i go to","sleep","i","i go","go","to"
"2242","i got a big",3,"i got a","big","i","i got","got","a"
"2243","i got on the",3,"i got on","the","i","i got","got","on"
"2244","i got to the",3,"i got to","the","i","i got","got","to"
"2245","i guess that i",3,"i guess that","i","i","i guess","guess","that"
"2246","i had expected to",3,"i had expected","to","i","i had","had","expected"
"2247","i had to do",3,"i had to","do","i","i had","had","to"
"2248","i had to go",3,"i had to","go","i","i had","had","to"
"2249","i had to make",3,"i had to","make","i","i had","had","to"
"2250","i had to use",3,"i had to","use","i","i had","had","to"
"2251","i hate being sick",3,"i hate being","sick","i","i hate","hate","being"
"2252","i have a good",3,"i have a","good","i","i have","have","a"
"2253","i have a very",3,"i have a","very","i","i have","have","a"
"2254","i have also been",3,"i have also","been","i","i have","have","also"
"2255","i have always thought",3,"i have always","thought","i","i have","have","always"
"2256","i have been making",3,"i have been","making","i","i have","have","been"
"2257","i have been on",3,"i have been","on","i","i have","have","been"
"2258","i have been really",3,"i have been","really","i","i have","have","been"
"2259","i have been there",3,"i have been","there","i","i have","have","been"
"2260","i have been thinking",3,"i have been","thinking","i","i have","have","been"
"2261","i have been wanting",3,"i have been","wanting","i","i have","have","been"
"2262","i have had to",3,"i have had","to","i","i have","have","had"
"2263","i have managed to",3,"i have managed","to","i","i have","have","managed"
"2264","i have no clue",3,"i have no","clue","i","i have","have","no"
"2265","i have not been",3,"i have not","been","i","i have","have","not"
"2266","i have seen you",3,"i have seen","you","i","i have","have","seen"
"2267","i have to be",3,"i have to","be","i","i have","have","to"
"2268","i have to make",3,"i have to","make","i","i have","have","to"
"2269","i have to stay",3,"i have to","stay","i","i have","have","to"
"2270","i have to wonder",3,"i have to","wonder","i","i have","have","to"
"2271","i have wanted to",3,"i have wanted","to","i","i have","have","wanted"
"2272","i hope i did",3,"i hope i","did","i","i hope","hope","i"
"2273","i hope i get",3,"i hope i","get","i","i hope","hope","i"
"2274","i hope it is",3,"i hope it","is","i","i hope","hope","it"
"2275","i hope that you",3,"i hope that","you","i","i hope","hope","that"
"2276","i hope you all",3,"i hope you","all","i","i hope","hope","you"
"2277","i hope you can",3,"i hope you","can","i","i hope","hope","you"
"2278","i just did not",3,"i just did","not","i","i just","just","did"
"2279","i just got a",3,"i just got","a","i","i just","just","got"
"2280","i just had a",3,"i just had","a","i","i just","just","had"
"2281","i just love the",3,"i just love","the","i","i just","just","love"
"2282","i just met you",3,"i just met","you","i","i just","just","met"
"2283","i just realized i",3,"i just realized","i","i","i just","just","realized"
"2284","i just realized that",3,"i just realized","that","i","i just","just","realized"
"2285","i just saw a",3,"i just saw","a","i","i just","just","saw"
"2286","i just take a",3,"i just take","a","i","i just","just","take"
"2287","i just woke up",3,"i just woke","up","i","i just","just","woke"
"2288","i knew i had",3,"i knew i","had","i","i knew","knew","i"
"2289","i know i did",3,"i know i","did","i","i know","know","i"
"2290","i know is that",3,"i know is","that","i","i know","know","is"
"2291","i know it was",3,"i know it","was","i","i know","know","it"
"2292","i know some of",3,"i know some","of","i","i know","know","some"
"2293","i know you are",3,"i know you","are","i","i know","know","you"
"2294","i know you have",3,"i know you","have","i","i know","know","you"
"2295","i know you will",3,"i know you","will","i","i know","know","you"
"2296","i like the idea",3,"i like the","idea","i","i like","like","the"
"2297","i listen to it",3,"i listen to","it","i","i listen","listen","to"
"2298","i looked at the",3,"i looked at","the","i","i looked","looked","at"
"2299","i love how my",3,"i love how","my","i","i love","love","how"
"2300","i love how the",3,"i love how","the","i","i love","love","how"
"2301","i love how you",3,"i love how","you","i","i love","love","how"
"2302","i love me some",3,"i love me","some","i","i love","love","me"
"2303","i love that the",3,"i love that","the","i","i love","love","that"
"2304","i love your music",3,"i love your","music","i","i love","love","your"
"2305","i managed to get",3,"i managed to","get","i","i managed","managed","to"
"2306","i may have to",3,"i may have","to","i","i may","may","have"
"2307","i might be a",3,"i might be","a","i","i might","might","be"
"2308","i missed out on",3,"i missed out","on","i","i missed","missed","out"
"2309","i need more followers",3,"i need more","followers","i","i need","need","more"
"2310","i need to be",3,"i need to","be","i","i need","need","to"
"2311","i need to leave",3,"i need to","leave","i","i need","need","to"
"2312","i never got to",3,"i never got","to","i","i never","never","got"
"2313","i now have to",3,"i now have","to","i","i now","now","have"
"2314","i picked up a",3,"i picked up","a","i","i picked","picked","up"
"2315","i ran out of",3,"i ran out","of","i","i ran","ran","out"
"2316","i really appreciate it",3,"i really appreciate","it","i","i really","really","appreciate"
"2317","i really can not",3,"i really can","not","i","i really","really","can"
"2318","i really wish i",3,"i really wish","i","i","i really","really","wish"
"2319","i remember when i",3,"i remember when","i","i","i remember","remember","when"
"2320","i said i am",3,"i said i","am","i","i said","said","i"
"2321","i say i am",3,"i say i","am","i","i say","say","i"
"2322","i should go to",3,"i should go","to","i","i should","should","go"
"2323","i still can not",3,"i still can","not","i","i still","still","can"
"2324","i still do not",3,"i still do","not","i","i still","still","do"
"2325","i the only one",3,"i the only","one","i","i the","the","only"
"2326","i think i saw",3,"i think i","saw","i","i think","think","i"
"2327","i think i was",3,"i think i","was","i","i think","think","i"
"2328","i think that it",3,"i think that","it","i","i think","think","that"
"2329","i think we should",3,"i think we","should","i","i think","think","we"
"2330","i think you get",3,"i think you","get","i","i think","think","you"
"2331","i thought i had",3,"i thought i","had","i","i thought","thought","i"
"2332","i wanna go home",3,"i wanna go","home","i","i wanna","wanna","go"
"2333","i want to read",3,"i want to","read","i","i want","want","to"
"2334","i want to start",3,"i want to","start","i","i want","want","to"
"2335","i want to tell",3,"i want to","tell","i","i want","want","to"
"2336","i wanted to share",3,"i wanted to","share","i","i wanted","wanted","to"
"2337","i wanted to show",3,"i wanted to","show","i","i wanted","wanted","to"
"2338","i wanted to try",3,"i wanted to","try","i","i wanted","wanted","to"
"2339","i wanted to write",3,"i wanted to","write","i","i wanted","wanted","to"
"2340","i was born in",3,"i was born","in","i","i was","was","born"
"2341","i was excited about",3,"i was excited","about","i","i was","was","excited"
"2342","i was going through",3,"i was going","through","i","i was","was","going"
"2343","i was looking forward",3,"i was looking","forward","i","i was","was","looking"
"2344","i was out of",3,"i was out","of","i","i was","was","out"
"2345","i was supposed to",3,"i was supposed","to","i","i was","was","supposed"
"2346","i was told i",3,"i was told","i","i","i was","was","told"
"2347","i was too busy",3,"i was too","busy","i","i was","was","too"
"2348","i was trying to",3,"i was trying","to","i","i was","was","trying"
"2349","i was worried about",3,"i was worried","about","i","i was","was","worried"
"2350","i went on a",3,"i went on","a","i","i went","went","on"
"2351","i will admit that",3,"i will admit","that","i","i will","will","admit"
"2352","i will always love",3,"i will always","love","i","i will","will","always"
"2353","i will be sure",3,"i will be","sure","i","i will","will","be"
"2354","i will be the",3,"i will be","the","i","i will","will","be"
"2355","i will follow you",3,"i will follow","you","i","i will","will","follow"
"2356","i will get to",3,"i will get","to","i","i will","will","get"
"2357","i will have a",3,"i will have","a","i","i will","will","have"
"2358","i will need to",3,"i will need","to","i","i will","will","need"
"2359","i will never forget",3,"i will never","forget","i","i will","will","never"
"2360","i will never get",3,"i will never","get","i","i will","will","never"
"2361","i will say that",3,"i will say","that","i","i will","will","say"
"2362","i will see if",3,"i will see","if","i","i will","will","see"
"2363","i will show you",3,"i will show","you","i","i will","will","show"
"2364","i will take it",3,"i will take","it","i","i will","will","take"
"2365","i wish i would",3,"i wish i","would","i","i wish","wish","i"
"2366","i woke up to",3,"i woke up","to","i","i woke","woke","up"
"2367","i wonder how many",3,"i wonder how","many","i","i wonder","wonder","how"
"2368","i would be so",3,"i would be","so","i","i would","would","be"
"2369","i would go to",3,"i would go","to","i","i would","would","go"
"2370","i would have no",3,"i would have","no","i","i would","would","have"
"2371","i would like a",3,"i would like","a","i","i would","would","like"
"2372","i would not forget",3,"i would not","forget","i","i would","would","not"
"2373","i would not want",3,"i would not","want","i","i would","would","not"
"2374","i would take a",3,"i would take","a","i","i would","would","take"
"2375","icing on the cake",3,"icing on the","cake","icing","icing on","on","the"
"2376","if i can get",3,"if i can","get","if","if i","i","can"
"2377","if i had a",3,"if i had","a","if","if i","i","had"
"2378","if i have to",3,"if i have","to","if","if i","i","have"
"2379","if i was a",3,"if i was","a","if","if i","i","was"
"2380","if i was in",3,"if i was","in","if","if i","i","was"
"2381","if only i could",3,"if only i","could","if","if only","only","i"
"2382","if she does not",3,"if she does","not","if","if she","she","does"
"2383","if they can not",3,"if they can","not","if","if they","they","can"
"2384","if you are having",3,"if you are","having","if","if you","you","are"
"2385","if you are looking",3,"if you are","looking","if","if you","you","are"
"2386","if you ask me",3,"if you ask","me","if","if you","you","ask"
"2387","if you followed me",3,"if you followed","me","if","if you","you","followed"
"2388","if you go to",3,"if you go","to","if","if you","you","go"
"2389","if you had to",3,"if you had","to","if","if you","you","had"
"2390","if you have ever",3,"if you have","ever","if","if you","you","have"
"2391","if you know anyone",3,"if you know","anyone","if","if you","you","know"
"2392","if you need a",3,"if you need","a","if","if you","you","need"
"2393","if you need any",3,"if you need","any","if","if you","you","need"
"2394","if you try to",3,"if you try","to","if","if you","you","try"
"2395","if you wish to",3,"if you wish","to","if","if you","you","wish"
"2396","if youre looking for",3,"if youre looking","for","if","if youre","youre","looking"
"2397","illinois incorporated in item",3,"illinois incorporated in","item","illinois","illinois incorporated","incorporated","in"
"2398","im just going to",3,"im just going","to","im","im just","just","going"
"2399","in a bad mood",3,"in a bad","mood","in","in a","a","bad"
"2400","in a couple hours",3,"in a couple","hours","in","in a","a","couple"
"2401","in a few days",3,"in a few","days","in","in a","a","few"
"2402","in a few years",3,"in a few","years","in","in a","a","few"
"2403","in a number of",3,"in a number","of","in","in a","a","number"
"2404","in a row i",3,"in a row","i","in","in a","a","row"
"2405","in a sort of",3,"in a sort","of","in","in a","a","sort"
"2406","in black and white",3,"in black and","white","in","in black","black","and"
"2407","in case you did",3,"in case you","did","in","in case","case","you"
"2408","in charge of the",3,"in charge of","the","in","in charge","charge","of"
"2409","in fact i think",3,"in fact i","think","in","in fact","fact","i"
"2410","in for a treat",3,"in for a","treat","in","in for","for","a"
"2411","in love with her",3,"in love with","her","in","in love","love","with"
"2412","in love with the",3,"in love with","the","in","in love","love","with"
"2413","in love with you",3,"in love with","you","in","in love","love","with"
"2414","in need of a",3,"in need of","a","in","in need","need","of"
"2415","in order to have",3,"in order to","have","in","in order","order","to"
"2416","in order to use",3,"in order to","use","in","in order","order","to"
"2417","in preparation for the",3,"in preparation for","the","in","in preparation","preparation","for"
"2418","in search of a",3,"in search of","a","in","in search","search","of"
"2419","in some of the",3,"in some of","the","in","in some","some","of"
"2420","in the beginning of",3,"in the beginning","of","in","in the","the","beginning"
"2421","in the car and",3,"in the car","and","in","in the","the","car"
"2422","in the centre of",3,"in the centre","of","in","in the","the","centre"
"2423","in the comments below",3,"in the comments","below","in","in the","the","comments"
"2424","in the context of",3,"in the context","of","in","in the","the","context"
"2425","in the course of",3,"in the course","of","in","in the","the","course"
"2426","in the end it",3,"in the end","it","in","in the","the","end"
"2427","in the future when",3,"in the future","when","in","in the","the","future"
"2428","in the hands of",3,"in the hands","of","in","in the","the","hands"
"2429","in the kitchen and",3,"in the kitchen","and","in","in the","the","kitchen"
"2430","in the lives of",3,"in the lives","of","in","in the","the","lives"
"2431","in the mood to",3,"in the mood","to","in","in the","the","mood"
"2432","in the new year",3,"in the new","year","in","in the","the","new"
"2433","in the palm of",3,"in the palm","of","in","in the","the","palm"
"2434","in the power of",3,"in the power","of","in","in the","the","power"
"2435","in the real world",3,"in the real","world","in","in the","the","real"
"2436","in the right direction",3,"in the right","direction","in","in the","the","right"
"2437","in the room and",3,"in the room","and","in","in the","the","room"
"2438","in the second half",3,"in the second","half","in","in the","the","second"
"2439","in the shape of",3,"in the shape","of","in","in the","the","shape"
"2440","in the world for",3,"in the world","for","in","in the","the","world"
"2441","in the world is",3,"in the world","is","in","in the","the","world"
"2442","in the world of",3,"in the world","of","in","in the","the","world"
"2443","in the world she",3,"in the world","she","in","in the","the","world"
"2444","in the world the",3,"in the world","the","in","in the","the","world"
"2445","interesting to see how",3,"interesting to see","how","interesting","interesting to","to","see"
"2446","into the fourth quarter",3,"into the fourth","quarter","into","into the","the","fourth"
"2447","is a good day",3,"is a good","day","is","is a","a","good"
"2448","is a good idea",3,"is a good","idea","is","is a","a","good"
"2449","is a good thing",3,"is a good","thing","is","is a","a","good"
"2450","is a sign of",3,"is a sign","of","is","is a","a","sign"
"2451","is a ton of",3,"is a ton","of","is","is a","a","ton"
"2452","is a waste of",3,"is a waste","of","is","is a","a","waste"
"2453","is always there for",3,"is always there","for","is","is always","always","there"
"2454","is believed to be",3,"is believed to","be","is","is believed","believed","to"
"2455","is better or worse",3,"is better or","worse","is","is better","better","or"
"2456","is enough to make",3,"is enough to","make","is","is enough","enough","to"
"2457","is going to have",3,"is going to","have","is","is going","going","to"
"2458","is in front of",3,"is in front","of","is","is in","in","front"
"2459","is it about the",3,"is it about","the","is","is it","it","about"
"2460","is it any wonder",3,"is it any","wonder","is","is it","it","any"
"2461","is it is a",3,"is it is","a","is","is it","it","is"
"2462","is it no more",3,"is it no","more","is","is it","it","no"
"2463","is just around the",3,"is just around","the","is","is just","just","around"
"2464","is kind of a",3,"is kind of","a","is","is kind","kind","of"
"2465","is made up of",3,"is made up","of","is","is made","made","up"
"2466","is more like a",3,"is more like","a","is","is more","more","like"
"2467","is more than enough",3,"is more than","enough","is","is more","more","than"
"2468","is more than just",3,"is more than","just","is","is more","more","than"
"2469","is national wear red",3,"is national wear","red","is","is national","national","wear"
"2470","is not a bad",3,"is not a","bad","is","is not","not","a"
"2471","is not a good",3,"is not a","good","is","is not","not","a"
"2472","is not the first",3,"is not the","first","is","is not","not","the"
"2473","is one of our",3,"is one of","our","is","is one","one","of"
"2474","is part of my",3,"is part of","my","is","is part","part","of"
"2475","is safe to say",3,"is safe to","say","is","is safe","safe","to"
"2476","is such a great",3,"is such a","great","is","is such","such","a"
"2477","is that we are",3,"is that we","are","is","is that","that","we"
"2478","is the beauty of",3,"is the beauty","of","is","is the","the","beauty"
"2479","is the first time",3,"is the first","time","is","is the","the","first"
"2480","is the most important",3,"is the most","important","is","is the","the","most"
"2481","is the most powerful",3,"is the most","powerful","is","is the","the","most"
"2482","is the only thing",3,"is the only","thing","is","is the","the","only"
"2483","is the reason i",3,"is the reason","i","is","is the","the","reason"
"2484","is the result of",3,"is the result","of","is","is the","the","result"
"2485","is the same as",3,"is the same","as","is","is the","the","same"
"2486","is the time for",3,"is the time","for","is","is the","the","time"
"2487","is time for some",3,"is time for","some","is","is time","time","for"
"2488","is too much for",3,"is too much","for","is","is too","too","much"
"2489","is well with you",3,"is well with","you","is","is well","well","with"
"2490","is what i do",3,"is what i","do","is","is what","what","i"
"2491","is wrong with you",3,"is wrong with","you","is","is wrong","wrong","with"
"2492","is your favorite place",3,"is your favorite","place","is","is your","your","favorite"
"2493","it allows me to",3,"it allows me","to","it","it allows","allows","me"
"2494","it appears that the",3,"it appears that","the","it","it appears","appears","that"
"2495","it but i am",3,"it but i","am","it","it but","but","i"
"2496","it but i do",3,"it but i","do","it","it but","but","i"
"2497","it could have been",3,"it could have","been","it","it could","could","have"
"2498","it feels good to",3,"it feels good","to","it","it feels","feels","good"
"2499","it for a while",3,"it for a","while","it","it for","for","a"
"2500","it has been a",3,"it has been","a","it","it has","has","been"
"2501","it if i am",3,"it if i","am","it","it if","if","i"
"2502","it is a big",3,"it is a","big","it","it is","is","a"
"2503","it is a way",3,"it is a","way","it","it is","is","a"
"2504","it is actually a",3,"it is actually","a","it","it is","is","actually"
"2505","it is all good",3,"it is all","good","it","it is","is","all"
"2506","it is amazing how",3,"it is amazing","how","it","it is","is","amazing"
"2507","it is because i",3,"it is because","i","it","it is","is","because"
"2508","it is best to",3,"it is best","to","it","it is","is","best"
"2509","it is definitely a",3,"it is definitely","a","it","it is","is","definitely"
"2510","it is fun to",3,"it is fun","to","it","it is","is","fun"
"2511","it is gonna get",3,"it is gonna","get","it","it is","is","gonna"
"2512","it is got to",3,"it is got","to","it","it is","is","got"
"2513","it is just that",3,"it is just","that","it","it is","is","just"
"2514","it is my birthday",3,"it is my","birthday","it","it is","is","my"
"2515","it is nice and",3,"it is nice","and","it","it is","is","nice"
"2516","it is no longer",3,"it is no","longer","it","it is","is","no"
"2517","it is not too",3,"it is not","too","it","it is","is","not"
"2518","it is okay to",3,"it is okay","to","it","it is","is","okay"
"2519","it is safe to",3,"it is safe","to","it","it is","is","safe"
"2520","it is supposed to",3,"it is supposed","to","it","it is","is","supposed"
"2521","it is that i",3,"it is that","i","it","it is","is","that"
"2522","it is the only",3,"it is the","only","it","it is","is","the"
"2523","it is the same",3,"it is the","same","it","it is","is","the"
"2524","it is the time",3,"it is the","time","it","it is","is","the"
"2525","it is too late",3,"it is too","late","it","it is","is","too"
"2526","it is true i",3,"it is true","i","it","it is","is","true"
"2527","it is what i",3,"it is what","i","it","it is","is","what"
"2528","it just did not",3,"it just did","not","it","it just","just","did"
"2529","it looked like a",3,"it looked like","a","it","it looked","looked","like"
"2530","it looks like this",3,"it looks like","this","it","it looks","looks","like"
"2531","it made me feel",3,"it made me","feel","it","it made","made","me"
"2532","it makes me feel",3,"it makes me","feel","it","it makes","makes","me"
"2533","it might be a",3,"it might be","a","it","it might","might","be"
"2534","it should be a",3,"it should be","a","it","it should","should","be"
"2535","it took a while",3,"it took a","while","it","it took","took","a"
"2536","it turns out to",3,"it turns out","to","it","it turns","turns","out"
"2537","it up a bit",3,"it up a","bit","it","it up","up","a"
"2538","it was a good",3,"it was a","good","it","it was","was","a"
"2539","it was a little",3,"it was a","little","it","it was","was","a"
"2540","it was a wonderful",3,"it was a","wonderful","it","it was","was","a"
"2541","it was also the",3,"it was also","the","it","it was","was","also"
"2542","it was fun to",3,"it was fun","to","it","it was","was","fun"
"2543","it was gonna be",3,"it was gonna","be","it","it was","was","gonna"
"2544","it was good to",3,"it was good","to","it","it was","was","good"
"2545","it was kind of",3,"it was kind","of","it","it was","was","kind"
"2546","it was like my",3,"it was like","my","it","it was","was","like"
"2547","it was nice to",3,"it was nice","to","it","it was","was","nice"
"2548","it was not so",3,"it was not","so","it","it was","was","not"
"2549","it was not the",3,"it was not","the","it","it was","was","not"
"2550","it was quite a",3,"it was quite","a","it","it was","was","quite"
"2551","it was really great",3,"it was really","great","it","it was","was","really"
"2552","it was so great",3,"it was so","great","it","it was","was","so"
"2553","it was so much",3,"it was so","much","it","it was","was","so"
"2554","it was so nice",3,"it was so","nice","it","it was","was","so"
"2555","it was the perfect",3,"it was the","perfect","it","it was","was","the"
"2556","it will not work",3,"it will not","work","it","it will","will","not"
"2557","it would be very",3,"it would be","very","it","it would","would","be"
"2558","it would make my",3,"it would make","my","it","it would","would","make"
"2559","its all about the",3,"its all about","the","its","its all","all","about"
"2560","its going to be",3,"its going to","be","its","its going","going","to"
"2561","just around the corner",3,"just around the","corner","just","just around","around","the"
"2562","just as well as",3,"just as well","as","just","just as","as","well"
"2563","just do not want",3,"just do not","want","just","just do","do","not"
"2564","just found out my",3,"just found out","my","just","just found","found","out"
"2565","just had a great",3,"just had a","great","just","just had","had","a"
"2566","just in time to",3,"just in time","to","just","just in","in","time"
"2567","just made my day",3,"just made my","day","just","just made","made","my"
"2568","just one of those",3,"just one of","those","just","just one","one","of"
"2569","just realized i have",3,"just realized i","have","just","just realized","realized","i"
"2570","just signed up for",3,"just signed up","for","just","just signed","signed","up"
"2571","just so you know",3,"just so you","know","just","just so","so","you"
"2572","just the way it",3,"just the way","it","just","just the","the","way"
"2573","just want to go",3,"just want to","go","just","just want","want","to"
"2574","just wanted to say",3,"just wanted to","say","just","just wanted","wanted","to"
"2575","just woke up from",3,"just woke up","from","just","just woke","woke","up"
"2576","keep my eyes open",3,"keep my eyes","open","keep","keep my","my","eyes"
"2577","keep up with the",3,"keep up with","the","keep","keep up","up","with"
"2578","know how to do",3,"know how to","do","know","know how","how","to"
"2579","know how to make",3,"know how to","make","know","know how","how","to"
"2580","know i have been",3,"know i have","been","know","know i","i","have"
"2581","know if i can",3,"know if i","can","know","know if","if","i"
"2582","know that it is",3,"know that it","is","know","know that","that","it"
"2583","know what i do",3,"know what i","do","know","know what","what","i"
"2584","know what is going",3,"know what is","going","know","know what","what","is"
"2585","know what you think",3,"know what you","think","know","know what","what","you"
"2586","know who or what",3,"know who or","what","know","know who","who","or"
"2587","know you are in",3,"know you are","in","know","know you","you","are"
"2588","last night at the",3,"last night at","the","last","last night","night","at"
"2589","last night with the",3,"last night with","the","last","last night","night","with"
"2590","leading the way in",3,"leading the way","in","leading","leading the","the","way"
"2591","leads me to my",3,"leads me to","my","leads","leads me","me","to"
"2592","leave a comment on",3,"leave a comment","on","leave","leave a","a","comment"
"2593","let us be real",3,"let us be","real","let","let us","us","be"
"2594","let us do this",3,"let us do","this","let","let us","us","do"
"2595","let us get it",3,"let us get","it","let","let us","us","get"
"2596","let us see what",3,"let us see","what","let","let us","us","see"
"2597","like a good idea",3,"like a good","idea","like","like a","a","good"
"2598","like it i am",3,"like it i","am","like","like it","it","i"
"2599","like it is a",3,"like it is","a","like","like it","it","is"
"2600","like the back of",3,"like the back","of","like","like the","the","back"
"2601","like the fact that",3,"like the fact","that","like","like the","the","fact"
"2602","list of things to",3,"list of things","to","list","list of","of","things"
"2603","little bit of a",3,"little bit of","a","little","little bit","bit","of"
"2604","long as it is",3,"long as it","is","long","long as","as","it"
"2605","long as you are",3,"long as you","are","long","long as","as","you"
"2606","long day at work",3,"long day at","work","long","long day","day","at"
"2607","look at all the",3,"look at all","the","look","look at","at","all"
"2608","look forward to meeting",3,"look forward to","meeting","look","look forward","forward","to"
"2609","look forward to working",3,"look forward to","working","look","look forward","forward","to"
"2610","looked at me and",3,"looked at me","and","looked","looked at","at","me"
"2611","looking for a job",3,"looking for a","job","looking","looking for","for","a"
"2612","looking forward to a",3,"looking forward to","a","looking","looking forward","forward","to"
"2613","looks like a great",3,"looks like a","great","looks","looks like","like","a"
"2614","looks like i am",3,"looks like i","am","looks","looks like","like","i"
"2615","looks like they are",3,"looks like they","are","looks","looks like","like","they"
"2616","lot of time to",3,"lot of time","to","lot","lot of","of","time"
"2617","love at first sight",3,"love at first","sight","love","love at","at","first"
"2618","love it if you",3,"love it if","you","love","love it","it","if"
"2619","love the way your",3,"love the way","your","love","love the","the","way"
"2620","love to hear from",3,"love to hear","from","love","love to","to","hear"
"2621","make a huge difference",3,"make a huge","difference","make","make a","a","huge"
"2622","make a note of",3,"make a note","of","make","make a","a","note"
"2623","make it in the",3,"make it in","the","make","make it","it","in"
"2624","make me think of",3,"make me think","of","make","make me","me","think"
"2625","make me want to",3,"make me want","to","make","make me","me","want"
"2626","make the best of",3,"make the best","of","make","make the","the","best"
"2627","make the most of",3,"make the most","of","make","make the","the","most"
"2628","makes me feel like",3,"makes me feel","like","makes","makes me","me","feel"
"2629","maybe i need to",3,"maybe i need","to","maybe","maybe i","i","need"
"2630","maybe i should go",3,"maybe i should","go","maybe","maybe i","i","should"
"2631","me a sense of",3,"me a sense","of","me","me a","a","sense"
"2632","me and i was",3,"me and i","was","me","me and","and","i"
"2633","me crazy but i",3,"me crazy but","i","me","me crazy","crazy","but"
"2634","me feel at home",3,"me feel at","home","me","me feel","feel","at"
"2635","me i am a",3,"me i am","a","me","me i","i","am"
"2636","me i am sure",3,"me i am","sure","me","me i","i","am"
"2637","me i do not",3,"me i do","not","me","me i","i","do"
"2638","me want to watch",3,"me want to","watch","me","me want","want","to"
"2639","me what to do",3,"me what to","do","me","me what","what","to"
"2640","me when you have",3,"me when you","have","me","me when","when","you"
"2641","me why i am",3,"me why i","am","me","me why","why","i"
"2642","mean the world to",3,"mean the world","to","mean","mean the","the","world"
