"","word","freq","first_Nmin1","last","first","first2","first3","first4","second","third","fourth","fifth"
"281","i had no idea you were",2,"i had no idea you","were","i","i had","i had no","i had no idea","had","no","idea","you"
"282","i hate it when you are",2,"i hate it when you","are","i","i hate","i hate it","i hate it when","hate","it","when","you"
"283","i have been a bad blogger",2,"i have been a bad","blogger","i","i have","i have been","i have been a","have","been","a","bad"
"284","i have been a fan since",2,"i have been a fan","since","i","i have","i have been","i have been a","have","been","a","fan"
"285","i have been asked to be",2,"i have been asked to","be","i","i have","i have been","i have been asked","have","been","asked","to"
"286","i have been meaning to ask",2,"i have been meaning to","ask","i","i have","i have been","i have been meaning","have","been","meaning","to"
"287","i have come to the conclusion",2,"i have come to the","conclusion","i","i have","i have come","i have come to","have","come","to","the"
"288","i have got a lot of",2,"i have got a lot","of","i","i have","i have got","i have got a","have","got","a","lot"
"289","i have to say that the",2,"i have to say that","the","i","i have","i have to","i have to say","have","to","say","that"
"290","i havent been on here in",2,"i havent been on here","in","i","i havent","i havent been","i havent been on","havent","been","on","here"
"291","i havent been on in forever",2,"i havent been on in","forever","i","i havent","i havent been","i havent been on","havent","been","on","in"
"292","i hope everyone had a great",2,"i hope everyone had a","great","i","i hope","i hope everyone","i hope everyone had","hope","everyone","had","a"
"293","i hope you all have a",2,"i hope you all have","a","i","i hope","i hope you","i hope you all","hope","you","all","have"
"294","i hope you have an amazing",2,"i hope you have an","amazing","i","i hope","i hope you","i hope you have","hope","you","have","an"
"295","i just do not know if",2,"i just do not know","if","i","i just","i just do","i just do not","just","do","not","know"
"296","i just want to go home",2,"i just want to go","home","i","i just","i just want","i just want to","just","want","to","go"
"297","i knew this day would come",2,"i knew this day would","come","i","i knew","i knew this","i knew this day","knew","this","day","would"
"298","i like the sound of that",2,"i like the sound of","that","i","i like","i like the","i like the sound","like","the","sound","of"
"299","i like to refer to as",2,"i like to refer to","as","i","i like","i like to","i like to refer","like","to","refer","to"
"300","i love you more than i",2,"i love you more than","i","i","i love","i love you","i love you more","love","you","more","than"
"301","i need to do to get",2,"i need to do to","get","i","i need","i need to","i need to do","need","to","do","to"
"302","i need to figure out how",2,"i need to figure out","how","i","i need","i need to","i need to figure","need","to","figure","out"
"303","i need to go to the",2,"i need to go to","the","i","i need","i need to","i need to go","need","to","go","to"
"304","i say unto you what things",2,"i say unto you what","things","i","i say","i say unto","i say unto you","say","unto","you","what"
"305","i think it is because i",2,"i think it is because","i","i","i think","i think it","i think it is","think","it","is","because"
"306","i think it is important to",2,"i think it is important","to","i","i think","i think it","i think it is","think","it","is","important"
"307","i think it is time for",2,"i think it is time","for","i","i think","i think it","i think it is","think","it","is","time"
"308","i think this is going to",2,"i think this is going","to","i","i think","i think this","i think this is","think","this","is","going"
"309","i thought about it the more",2,"i thought about it the","more","i","i thought","i thought about","i thought about it","thought","about","it","the"
"310","i wake up in the middle",2,"i wake up in the","middle","i","i wake","i wake up","i wake up in","wake","up","in","the"
"311","i was able to get a",2,"i was able to get","a","i","i was","i was able","i was able to","was","able","to","get"
"312","i was going to have to",2,"i was going to have","to","i","i was","i was going","i was going to","was","going","to","have"
"313","i will have to check it",2,"i will have to check","it","i","i will","i will have","i will have to","will","have","to","check"
"314","i will let you know when",2,"i will let you know","when","i","i will","i will let","i will let you","will","let","you","know"
"315","i will never be able to",2,"i will never be able","to","i","i will","i will never","i will never be","will","never","be","able"
"316","i will not be able to",2,"i will not be able","to","i","i will","i will not","i will not be","will","not","be","able"
"317","i will see if i can",2,"i will see if i","can","i","i will","i will see","i will see if","will","see","if","i"
"318","i wish i could be there",2,"i wish i could be","there","i","i wish","i wish i","i wish i could","wish","i","could","be"
"319","i wish i was going to",2,"i wish i was going","to","i","i wish","i wish i","i wish i was","wish","i","was","going"
"320","i wish that i could say",2,"i wish that i could","say","i","i wish","i wish that","i wish that i","wish","that","i","could"
"321","i wish you would see all",2,"i wish you would see","all","i","i wish","i wish you","i wish you would","wish","you","would","see"
"322","i would like to thank the",2,"i would like to thank","the","i","i would","i would like","i would like to","would","like","to","thank"
"323","i would love it if you",2,"i would love it if","you","i","i would","i would love","i would love it","would","love","it","if"
"324","i would love to have a",2,"i would love to have","a","i","i would","i would love","i would love to","would","love","to","have"
"325","i would love to hear from",2,"i would love to hear","from","i","i would","i would love","i would love to","would","love","to","hear"
"326","i would love to hear your",2,"i would love to hear","your","i","i would","i would love","i would love to","would","love","to","hear"
"327","if i ever make it to",2,"if i ever make it","to","if","if i","if i ever","if i ever make","i","ever","make","it"
"328","if i wanted to go to",2,"if i wanted to go","to","if","if i","if i wanted","if i wanted to","i","wanted","to","go"
"329","if u dotheir in my favorites",2,"if u dotheir in my","favorites","if","if u","if u dotheir","if u dotheir in","u","dotheir","in","my"
"330","if you are interested in meeting",2,"if you are interested in","meeting","if","if you","if you are","if you are interested","you","are","interested","in"
"331","if you do not like change",2,"if you do not like","change","if","if you","if you do","if you do not","you","do","not","like"
"332","if you follow me i will",2,"if you follow me i","will","if","if you","if you follow","if you follow me","you","follow","me","i"
"333","if you get the chance to",2,"if you get the chance","to","if","if you","if you get","if you get the","you","get","the","chance"
"334","if you have any questions about",2,"if you have any questions","about","if","if you","if you have","if you have any","you","have","any","questions"
"335","if you have been reading my",2,"if you have been reading","my","if","if you","if you have","if you have been","you","have","been","reading"
"336","if you know what i mean",2,"if you know what i","mean","if","if you","if you know","if you know what","you","know","what","i"
"337","if you need anyone to talk",2,"if you need anyone to","talk","if","if you","if you need","if you need anyone","you","need","anyone","to"
"338","if you would like to join",2,"if you would like to","join","if","if you","if you would","if you would like","you","would","like","to"
"339","imagine tweets it would mean alot",2,"imagine tweets it would mean","alot","imagine","imagine tweets","imagine tweets it","imagine tweets it would","tweets","it","would","mean"
"340","in dc im tryna fish montana",2,"in dc im tryna fish","montana","in","in dc","in dc im","in dc im tryna","dc","im","tryna","fish"
"341","in fact i think they should",2,"in fact i think they","should","in","in fact","in fact i","in fact i think","fact","i","think","they"
"342","in the blink of an eye",2,"in the blink of an","eye","in","in the","in the blink","in the blink of","the","blink","of","an"
"343","in the next week or so",2,"in the next week or","so","in","in the","in the next","in the next week","the","next","week","or"
"344","in the wrong place at the",2,"in the wrong place at","the","in","in the","in the wrong","in the wrong place","the","wrong","place","at"
"345","instead where there is no path",2,"instead where there is no","path","instead","instead where","instead where there","instead where there is","where","there","is","no"
"346","is a good place to start",2,"is a good place to","start","is","is a","is a good","is a good place","a","good","place","to"
"347","is a great way to get",2,"is a great way to","get","is","is a","is a great","is a great way","a","great","way","to"
"348","is going to be a new",2,"is going to be a","new","is","is going","is going to","is going to be","going","to","be","a"
"349","is going to be one of",2,"is going to be one","of","is","is going","is going to","is going to be","going","to","be","one"
"350","is going to be so much",2,"is going to be so","much","is","is going","is going to","is going to be","going","to","be","so"
"351","is i believe that someday he",2,"is i believe that someday","he","is","is i","is i believe","is i believe that","i","believe","that","someday"
"352","is just a matter of time",2,"is just a matter of","time","is","is just","is just a","is just a matter","just","a","matter","of"
"353","is just icing on the cake",2,"is just icing on the","cake","is","is just","is just icing","is just icing on","just","icing","on","the"
"354","is no path and leave a",2,"is no path and leave","a","is","is no","is no path","is no path and","no","path","and","leave"
"355","is not the same as being",2,"is not the same as","being","is","is not","is not the","is not the same","not","the","same","as"
"356","is over smile because it happened",2,"is over smile because it","happened","is","is over","is over smile","is over smile because","over","smile","because","it"
"357","is the first time that i",2,"is the first time that","i","is","is the","is the first","is the first time","the","first","time","that"
"358","is the most amazing person ever",2,"is the most amazing person","ever","is","is the","is the most","is the most amazing","the","most","amazing","person"
"359","is the time for you to",2,"is the time for you","to","is","is the","is the time","is the time for","the","time","for","you"
"360","is with ghosts everyone talks about",2,"is with ghosts everyone talks","about","is","is with","is with ghosts","is with ghosts everyone","with","ghosts","everyone","talks"
"361","is with true love as it",2,"is with true love as","it","is","is with","is with true","is with true love","with","true","love","as"
"362","it but few have seen it",2,"it but few have seen","it","it","it but","it but few","it but few have","but","few","have","seen"
"363","it has something to do with",2,"it has something to do","with","it","it has","it has something","it has something to","has","something","to","do"
"364","it is going to be that",2,"it is going to be","that","it","it is","it is going","it is going to","is","going","to","be"
"365","it is just a matter of",2,"it is just a matter","of","it","it is","it is just","it is just a","is","just","a","matter"
"366","it is my birthday today austin",2,"it is my birthday today","austin","it","it is","it is my","it is my birthday","is","my","birthday","today"
"367","it is not that i am",2,"it is not that i","am","it","it is","it is not","it is not that","is","not","that","i"
"368","it is over smile because it",2,"it is over smile because","it","it","it is","it is over","it is over smile","is","over","smile","because"
"369","it is the end of the",2,"it is the end of","the","it","it is","it is the","it is the end","is","the","end","of"
"370","it is time for a new",2,"it is time for a","new","it","it is","it is time","it is time for","is","time","for","a"
"371","it is with ghosts everyone talks",2,"it is with ghosts everyone","talks","it","it is","it is with","it is with ghosts","is","with","ghosts","everyone"
"372","it is with true love as",2,"it is with true love","as","it","it is","it is with","it is with true","is","with","true","love"
"373","it too so if you need",2,"it too so if you","need","it","it too","it too so","it too so if","too","so","if","you"
"374","it will be fun to see",2,"it will be fun to","see","it","it will","it will be","it will be fun","will","be","fun","to"
"375","it would mean alot if u",2,"it would mean alot if","u","it","it would","it would mean","it would mean alot","would","mean","alot","if"
"376","just a few more days until",2,"just a few more days","until","just","just a","just a few","just a few more","a","few","more","days"
"377","just a few of my favorite",2,"just a few of my","favorite","just","just a","just a few","just a few of","a","few","of","my"
"378","just wanted to let you know",2,"just wanted to let you","know","just","just wanted","just wanted to","just wanted to let","wanted","to","let","you"
"379","last night for the first time",2,"last night for the first","time","last","last night","last night for","last night for the","night","for","the","first"
"380","lately i have been trying to",2,"lately i have been trying","to","lately","lately i","lately i have","lately i have been","i","have","been","trying"
"381","lead go instead where there is",2,"lead go instead where there","is","lead","lead go","lead go instead","lead go instead where","go","instead","where","there"
"382","let me know if you are",2,"let me know if you","are","let","let me","let me know","let me know if","me","know","if","you"
"383","let me know if you have",2,"let me know if you","have","let","let me","let me know","let me know if","me","know","if","you"
"384","let me know so i can",2,"let me know so i","can","let","let me","let me know","let me know so","me","know","so","i"
"385","let us know if you need",2,"let us know if you","need","let","let us","let us know","let us know if","us","know","if","you"
"386","let us know what you think",2,"let us know what you","think","let","let us","let us know","let us know what","us","know","what","you"
"387","life that i will never get",2,"life that i will never","get","life","life that","life that i","life that i will","that","i","will","never"
"388","light up my world like nobody",2,"light up my world like","nobody","light","light up","light up my","light up my world","up","my","world","like"
"389","like a lady think like a",2,"like a lady think like","a","like","like a","like a lady","like a lady think","a","lady","think","like"
"390","like it would take a long",2,"like it would take a","long","like","like it","like it would","like it would take","it","would","take","a"
"391","like the back of my hand",2,"like the back of my","hand","like","like the","like the back","like the back of","the","back","of","my"
"392","list of things to do this",2,"list of things to do","this","list","list of","list of things","list of things to","of","things","to","do"
"393","love as it is with ghosts",2,"love as it is with","ghosts","love","love as","love as it","love as it is","as","it","is","with"
"394","love this is one of the",2,"love this is one of","the","love","love this","love this is","love this is one","this","is","one","of"
"395","love to have you as a",2,"love to have you as","a","love","love to","love to have","love to have you","to","have","you","as"
"396","lower the heat and simmer partially",2,"lower the heat and simmer","partially","lower","lower the","lower the heat","lower the heat and","the","heat","and","simmer"
"397","make sure to stop by the",2,"make sure to stop by","the","make","make sure","make sure to","make sure to stop","sure","to","stop","by"
"398","makes about as much sense as",2,"makes about as much sense","as","makes","makes about","makes about as","makes about as much","about","as","much","sense"
"399","makes me want to watch the",2,"makes me want to watch","the","makes","makes me","makes me want","makes me want to","me","want","to","watch"
"400","matter what i will always love",2,"matter what i will always","love","matter","matter what","matter what i","matter what i will","what","i","will","always"
"401","may lead go instead where there",2,"may lead go instead where","there","may","may lead","may lead go","may lead go instead","lead","go","instead","where"
"402","me and just forget the world",2,"me and just forget the","world","me","me and","me and just","me and just forget","and","just","forget","the"
"403","me crazy but i do not",2,"me crazy but i do","not","me","me crazy","me crazy but","me crazy but i","crazy","but","i","do"
"404","me hate me either way you",2,"me hate me either way","you","me","me hate","me hate me","me hate me either","hate","me","either","way"
"405","me if i wanted to go",2,"me if i wanted to","go","me","me if","me if i","me if i wanted","if","i","wanted","to"
"406","me know if you are interested",2,"me know if you are","interested","me","me know","me know if","me know if you","know","if","you","are"
"407","me know if you have any",2,"me know if you have","any","me","me know","me know if","me know if you","know","if","you","have"
"408","me rate me hate me either",2,"me rate me hate me","either","me","me rate","me rate me","me rate me hate","rate","me","hate","me"
"409","mean alot if u dotheir in",2,"mean alot if u dotheir","in","mean","mean alot","mean alot if","mean alot if u","alot","if","u","dotheir"
"410","meet up at the end of",2,"meet up at the end","of","meet","meet up","meet up at","meet up at the","up","at","the","end"
"411","mi run with a pace of",2,"mi run with a pace","of","mi","mi run","mi run with","mi run with a","run","with","a","pace"
"412","more i thought about it the",2,"more i thought about it","the","more","more i","more i thought","more i thought about","i","thought","about","it"
"413","my imagine tweets it would mean",2,"my imagine tweets it would","mean","my","my imagine","my imagine tweets","my imagine tweets it","imagine","tweets","it","would"
"414","my life that i will never",2,"my life that i will","never","my","my life","my life that","my life that i","life","that","i","will"
"415","natural born citizen or a citizen",2,"natural born citizen or a","citizen","natural","natural born","natural born citizen","natural born citizen or","born","citizen","or","a"
"416","need anyone to talk to i",2,"need anyone to talk to","i","need","need anyone","need anyone to","need anyone to talk","anyone","to","talk","to"
"417","need to come up with a",2,"need to come up with","a","need","need to","need to come","need to come up","to","come","up","with"
"418","need to figure out how to",2,"need to figure out how","to","need","need to","need to figure","need to figure out","to","figure","out","how"
"419","need to make the most of",2,"need to make the most","of","need","need to","need to make","need to make the","to","make","the","most"
"420","never quit and quitters never win",2,"never quit and quitters never","win","never","never quit","never quit and","never quit and quitters","quit","and","quitters","never"
"421","night i went out for a",2,"night i went out for","a","night","night i","night i went","night i went out","i","went","out","for"
"422","no matter what i will always",2,"no matter what i will","always","no","no matter","no matter what","no matter what i","matter","what","i","will"
"423","no path and leave a trail",2,"no path and leave a","trail","no","no path","no path and","no path and leave","path","and","leave","a"
"424","no person except a natural born",2,"no person except a natural","born","no","no person","no person except","no person except a","person","except","a","natural"
"425","no place i would rather be",2,"no place i would rather","be","no","no place","no place i","no place i would","place","i","would","rather"
"426","not cool not cool at all",2,"not cool not cool at","all","not","not cool","not cool not","not cool not cool","cool","not","cool","at"
"427","not cry because it is over",2,"not cry because it is","over","not","not cry","not cry because","not cry because it","cry","because","it","is"
"428","not decide if i want to",2,"not decide if i want","to","not","not decide","not decide if","not decide if i","decide","if","i","want"
"429","not go where the path may",2,"not go where the path","may","not","not go","not go where","not go where the","go","where","the","path"
"430","not going to be able to",2,"not going to be able","to","not","not going","not going to","not going to be","going","to","be","able"
"431","not know about you but i",2,"not know about you but","i","not","not know","not know about","not know about you","know","about","you","but"
"432","not know what i would do",2,"not know what i would","do","not","not know","not know what","not know what i","know","what","i","would"
"433","not think it was possible to",2,"not think it was possible","to","not","not think","not think it","not think it was","think","it","was","possible"
"434","not want to miss out on",2,"not want to miss out","on","not","not want","not want to","not want to miss","want","to","miss","out"
"435","now is the time for you",2,"now is the time for","you","now","now is","now is the","now is the time","is","the","time","for"
"436","of my life that i will",2,"of my life that i","will","of","of my","of my life","of my life that","my","life","that","i"
"437","of the adoption of this constitution",2,"of the adoption of this","constitution","of","of the","of the adoption","of the adoption of","the","adoption","of","this"
"438","off to a great start this",2,"off to a great start","this","off","off to","off to a","off to a great","to","a","great","start"
"439","on a day like this i",2,"on a day like this","i","on","on a","on a day","on a day like","a","day","like","this"
"440","on my way to the airport",2,"on my way to the","airport","on","on my","on my way","on my way to","my","way","to","the"
"441","on the top of my list",2,"on the top of my","list","on","on the","on the top","on the top of","the","top","of","my"
"442","one of my all time favorite",2,"one of my all time","favorite","one","one of","one of my","one of my all","of","my","all","time"
"443","one person but to one person",2,"one person but to one","person","one","one person","one person but","one person but to","person","but","to","one"
"444","opponents side of the field in",2,"opponents side of the field","in","opponents","opponents side","opponents side of","opponents side of the","side","of","the","field"
"445","or a citizen of the united",2,"or a citizen of the","united","or","or a","or a citizen","or a citizen of","a","citizen","of","the"
"446","over the past few weeks but",2,"over the past few weeks","but","over","over the","over the past","over the past few","the","past","few","weeks"
"447","path may lead go instead where",2,"path may lead go instead","where","path","path may","path may lead","path may lead go","may","lead","go","instead"
"448","pay a higher tax rate than",2,"pay a higher tax rate","than","pay","pay a","pay a higher","pay a higher tax","a","higher","tax","rate"
"449","person except a natural born citizen",2,"person except a natural born","citizen","person","person except","person except a","person except a natural","except","a","natural","born"
"450","please let me know if you",2,"please let me know if","you","please","please let","please let me","please let me know","let","me","know","if"
"451","pray believe that ye receive them",2,"pray believe that ye receive","them","pray","pray believe","pray believe that","pray believe that ye","believe","that","ye","receive"
"452","preheat the oven to degrees f",2,"preheat the oven to degrees","f","preheat","preheat the","preheat the oven","preheat the oven to","the","oven","to","degrees"
"453","put the finishing touches on my",2,"put the finishing touches on","my","put","put the","put the finishing","put the finishing touches","the","finishing","touches","on"
"454","quick trip to the grocery store",2,"quick trip to the grocery","store","quick","quick trip","quick trip to","quick trip to the","trip","to","the","grocery"
"455","r e t w e e",2,"r e t w e","e","r","r e","r e t","r e t w","e","t","w","e"
"456","rate me hate me either way",2,"rate me hate me either","way","rate","rate me","rate me hate","rate me hate me","me","hate","me","either"
"457","receive them and ye shall have",2,"receive them and ye shall","have","receive","receive them","receive them and","receive them and ye","them","and","ye","shall"
"458","run with a pace of mi",2,"run with a pace of","mi","run","run with","run with a","run with a pace","with","a","pace","of"
"459","say unto you what things soever",2,"say unto you what things","soever","say","say unto","say unto you","say unto you what","unto","you","what","things"
"460","scared the crap out of me",2,"scared the crap out of","me","scared","scared the","scared the crap","scared the crap out","the","crap","out","of"
"461","see all my imagine tweets it",2,"see all my imagine tweets","it","see","see all","see all my","see all my imagine","all","my","imagine","tweets"
"462","so i do not have to",2,"so i do not have","to","so","so i","so i do","so i do not","i","do","not","have"
"463","so i went for a quick",2,"so i went for a","quick","so","so i","so i went","so i went for","i","went","for","a"
"464","so you can get a better",2,"so you can get a","better","so","so you","so you can","so you can get","you","can","get","a"
"465","soever ye desire when ye pray",2,"soever ye desire when ye","pray","soever","soever ye","soever ye desire","soever ye desire when","ye","desire","when","ye"
"466","someday he will follow me back",2,"someday he will follow me","back","someday","someday he","someday he will","someday he will follow","he","will","follow","me"
"467","sorry i could not make it",2,"sorry i could not make","it","sorry","sorry i","sorry i could","sorry i could not","i","could","not","make"
"468","spring is just around the corner",2,"spring is just around the","corner","spring","spring is","spring is just","spring is just around","is","just","around","the"
"469","still every once in a while",2,"still every once in a","while","still","still every","still every once","still every once in","every","once","in","a"
"470","still trying to figure out how",2,"still trying to figure out","how","still","still trying","still trying to","still trying to figure","trying","to","figure","out"
"471","t w e e t if",2,"t w e e t","if","t","t w","t w e","t w e e","w","e","e","t"
"472","talks about it but few have",2,"talks about it but few","have","talks","talks about","talks about it","talks about it but","about","it","but","few"
"473","th president of the united states",2,"th president of the united","states","th","th president","th president of","th president of the","president","of","the","united"
"474","thank you for all your support",2,"thank you for all your","support","thank","thank you","thank you for","thank you for all","you","for","all","your"
"475","thank you for the follow i",2,"thank you for the follow","i","thank","thank you","thank you for","thank you for the","you","for","the","follow"
"476","thank you so much for the",2,"thank you so much for","the","thank","thank you","thank you so","thank you so much","you","so","much","for"
"477","thank you very much for the",2,"thank you very much for","the","thank","thank you","thank you very","thank you very much","you","very","much","for"
"478","thanks for following the hilltop on",2,"thanks for following the hilltop","on","thanks","thanks for","thanks for following","thanks for following the","for","following","the","hilltop"
"479","thanks for helping spread the word",2,"thanks for helping spread the","word","thanks","thanks for","thanks for helping","thanks for helping spread","for","helping","spread","the"
"480","thanks for joining us for our",2,"thanks for joining us for","our","thanks","thanks for","thanks for joining","thanks for joining us","for","joining","us","for"
"481","thanks for the rt about our",2,"thanks for the rt about","our","thanks","thanks for","thanks for the","thanks for the rt","for","the","rt","about"
"482","thanks so much for the follow",2,"thanks so much for the","follow","thanks","thanks so","thanks so much","thanks so much for","so","much","for","the"
"483","thanks to all who came out",2,"thanks to all who came","out","thanks","thanks to","thanks to all","thanks to all who","to","all","who","came"
"484","thanks to everyone who participated in",2,"thanks to everyone who participated","in","thanks","thanks to","thanks to everyone","thanks to everyone who","to","everyone","who","participated"
"485","that i could say that i",2,"that i could say that","i","that","that i","that i could","that i could say","i","could","say","that"
"486","that i will never get back",2,"that i will never get","back","that","that i","that i will","that i will never","i","will","never","get"
"487","that is what happens when you",2,"that is what happens when","you","that","that is","that is what","that is what happens","is","what","happens","when"
"488","that someday he will follow me",2,"that someday he will follow","me","that","that someday","that someday he","that someday he will","someday","he","will","follow"
"489","that ye receive them and ye",2,"that ye receive them and","ye","that","that ye","that ye receive","that ye receive them","ye","receive","them","and"
"490","that you would have liked to",2,"that you would have liked","to","that","that you","that you would","that you would have","you","would","have","liked"
"491","the baby out with the bathwater",2,"the baby out with the","bathwater","the","the baby","the baby out","the baby out with","baby","out","with","the"
"492","the best city in the world",2,"the best city in the","world","the","the best","the best city","the best city in","best","city","in","the"
"493","the best thing in the world",2,"the best thing in the","world","the","the best","the best thing","the best thing in","best","thing","in","the"
"494","the end of the year is",2,"the end of the year","is","the","the end","the end of","the end of the","end","of","the","year"
"495","the first time that i had",2,"the first time that i","had","the","the first","the first time","the first time that","first","time","that","i"
"496","the heat and simmer partially covered",2,"the heat and simmer partially","covered","the","the heat","the heat and","the heat and simmer","heat","and","simmer","partially"
"497","the man he used to be",2,"the man he used to","be","the","the man","the man he","the man he used","man","he","used","to"
"498","the moral of the story is",2,"the moral of the story","is","the","the moral","the moral of","the moral of the","moral","of","the","story"
"499","the more i thought about it",2,"the more i thought about","it","the","the more","the more i","the more i thought","more","i","thought","about"
"500","the next day i went to",2,"the next day i went","to","the","the next","the next day","the next day i","next","day","i","went"
"501","the only thing i can think",2,"the only thing i can","think","the","the only","the only thing","the only thing i","only","thing","i","can"
"502","the path may lead go instead",2,"the path may lead go","instead","the","the path","the path may","the path may lead","path","may","lead","go"
"503","the save power kit is an",2,"the save power kit is","an","the","the save","the save power","the save power kit","save","power","kit","is"
"504","the things we are capable of",2,"the things we are capable","of","the","the things","the things we","the things we are","things","we","are","capable"
"505","the time of the adoption of",2,"the time of the adoption","of","the","the time","the time of","the time of the","time","of","the","adoption"
"506","the wages of sin is death",2,"the wages of sin is","death","the","the wages","the wages of","the wages of sin","wages","of","sin","is"
"507","the wrong place at the wrong",2,"the wrong place at the","wrong","the","the wrong","the wrong place","the wrong place at","wrong","place","at","the"
"508","them and ye shall have them",2,"them and ye shall have","them","them","them and","them and ye","them and ye shall","and","ye","shall","have"
"509","there is no path and leave",2,"there is no path and","leave","there","there is","there is no","there is no path","is","no","path","and"
"510","there is no way we can",2,"there is no way we","can","there","there is","there is no","there is no way","is","no","way","we"
"511","there is simply too much to",2,"there is simply too much","to","there","there is","there is simply","there is simply too","is","simply","too","much"
"512","there will be a next time",2,"there will be a next","time","there","there will","there will be","there will be a","will","be","a","next"
"513","therefore i say unto you what",2,"therefore i say unto you","what","therefore","therefore i","therefore i say","therefore i say unto","i","say","unto","you"
"514","they are not going to be",2,"they are not going to","be","they","they are","they are not","they are not going","are","not","going","to"
"515","things soever ye desire when ye",2,"things soever ye desire when","ye","things","things soever","things soever ye","things soever ye desire","soever","ye","desire","when"
"516","think this is going to be",2,"think this is going to","be","think","think this","think this is","think this is going","this","is","going","to"
"517","this is crazy but heres my",2,"this is crazy but heres","my","this","this is","this is crazy","this is crazy but","is","crazy","but","heres"
"518","this is one of the many",2,"this is one of the","many","this","this is","this is one","this is one of","is","one","of","the"
"519","this is supposed to be the",2,"this is supposed to be","the","this","this is","this is supposed","this is supposed to","is","supposed","to","be"
"520","this is the first time that",2,"this is the first time","that","this","this is","this is the","this is the first","is","the","first","time"
"521","this is why i do not",2,"this is why i do","not","this","this is","this is why","this is why i","is","why","i","do"
"522","this time of year it is",2,"this time of year it","is","this","this time","this time of","this time of year","time","of","year","it"
"523","through a hole in the fence",2,"through a hole in the","fence","through","through a","through a hole","through a hole in","a","hole","in","the"
"524","time of the adoption of this",2,"time of the adoption of","this","time","time of","time of the","time of the adoption","of","the","adoption","of"
"525","to a boil lower the heat",2,"to a boil lower the","heat","to","to a","to a boil","to a boil lower","a","boil","lower","the"
"526","to be able to make it",2,"to be able to make","it","to","to be","to be able","to be able to","be","able","to","make"
"527","to do something you have never",2,"to do something you have","never","to","to do","to do something","to do something you","do","something","you","have"
"528","to everyone who came out to",2,"to everyone who came out","to","to","to everyone","to everyone who","to everyone who came","everyone","who","came","out"
"529","to everyone who participated in our",2,"to everyone who participated in","our","to","to everyone","to everyone who","to everyone who participated","everyone","who","participated","in"
"530","to hang out with my sister",2,"to hang out with my","sister","to","to hang","to hang out","to hang out with","hang","out","with","my"
"531","to make a long story short",2,"to make a long story","short","to","to make","to make a","to make a long","make","a","long","story"
"532","to our new followers have a",2,"to our new followers have","a","to","to our","to our new","to our new followers","our","new","followers","have"
"533","to say that it was a",2,"to say that it was","a","to","to say","to say that","to say that it","say","that","it","was"
"534","to washington dc for a concert",2,"to washington dc for a","concert","to","to washington","to washington dc","to washington dc for","washington","dc","for","a"
"535","to your opponents side of the",2,"to your opponents side of","the","to","to your","to your opponents","to your opponents side","your","opponents","side","of"
"536","true love as it is with",2,"true love as it is","with","true","true love","true love as","true love as it","love","as","it","is"
"537","try to make sense of it",2,"try to make sense of","it","try","try to","try to make","try to make sense","to","make","sense","of"
"538","tweets it would mean alot if",2,"tweets it would mean alot","if","tweets","tweets it","tweets it would","tweets it would mean","it","would","mean","alot"
"539","u dotheir in my favorites anna",2,"u dotheir in my favorites","anna","u","u dotheir","u dotheir in","u dotheir in my","dotheir","in","my","favorites"
"540","u gonna b in dc im",2,"u gonna b in dc","im","u","u gonna","u gonna b","u gonna b in","gonna","b","in","dc"
"541","university chicago illinois incorporated in item",2,"university chicago illinois incorporated in","item","university","university chicago","university chicago illinois","university chicago illinois incorporated","chicago","illinois","incorporated","in"
"542","unto you what things soever ye",2,"unto you what things soever","ye","unto","unto you","unto you what","unto you what things","you","what","things","soever"
"543","up my world like nobody else",2,"up my world like nobody","else","up","up my","up my world","up my world like","my","world","like","nobody"
"544","up over the next few weeks",2,"up over the next few","weeks","up","up over","up over the","up over the next","over","the","next","few"
"545","us know if you need any",2,"us know if you need","any","us","us know","us know if","us know if you","know","if","you","need"
"546","w e e t if you",2,"w e e t if","you","w","w e","w e e","w e e t","e","e","t","if"
"547","wake up in the middle of",2,"wake up in the middle","of","wake","wake up","wake up in","wake up in the","up","in","the","middle"
"548","want something you have never had",2,"want something you have never","had","want","want something","want something you","want something you have","something","you","have","never"
"549","washington dc for a concert and",2,"washington dc for a concert","and","washington","washington dc","washington dc for","washington dc for a","dc","for","a","concert"
"550","we are so thankful for our",2,"we are so thankful for","our","we","we are","we are so","we are so thankful","are","so","thankful","for"
"551","we had a great time and",2,"we had a great time","and","we","we had","we had a","we had a great","had","a","great","time"
"552","we want to hear from you",2,"we want to hear from","you","we","we want","we want to","we want to hear","want","to","hear","from"
"553","we will get back to you",2,"we will get back to","you","we","we will","we will get","we will get back","will","get","back","to"
"554","we would literally astound ourselves thomas",2,"we would literally astound ourselves","thomas","we","we would","we would literally","we would literally astound","would","literally","astound","ourselves"
"555","we would love to have you",2,"we would love to have","you","we","we would","we would love","we would love to","would","love","to","have"
"556","weekend make sure to stop by",2,"weekend make sure to stop","by","weekend","weekend make","weekend make sure","weekend make sure to","make","sure","to","stop"
"557","what do you think are the",2,"what do you think are","the","what","what do","what do you","what do you think","do","you","think","are"
"558","what is even better is that",2,"what is even better is","that","what","what is","what is even","what is even better","is","even","better","is"
"559","what is to come in the",2,"what is to come in","the","what","what is","what is to","what is to come","is","to","come","in"
